X,Y,Name,FIRE_OF_NOTE_IND,FIRE_SIZE_HA,Field_1,Fire Number,GEOGRAPHIC,IGNITION DATE,INCIDENT_NAME,LATITUDE,LONGITUDE,RESPONSE_TYPE_DESC,YEAR
-123.824733204909,51.4820556123659,Elkins Ranch,0,38.5,Elkins Ranch,C50366,Elkins Ranch,2021-04-21 1:30:49 PM,,51.48205,-123.824717,Full,2021
-121.962149079279,52.050922864784,1.5km W of Yellow Lake,0,0.009,1.5km W of Yellow Lake,C20923,1.5km W of Yellow Lake,2021-06-26 10:15:00 AM,,52.050917,-121.962133,Monitor,2021
-120.414033272428,53.4259061128274,West Twin,0,0.2,West Twin,G31733,West Twin,2021-07-09 8:03:25 PM,G31733,53.4259,-120.414017,Full,2021
-122.781816375039,52.5201227792934,Ramsey Creek,0,0.67,Ramsey Creek,C12744,Ramsey Creek,2021-08-28 12:30:11 PM,Ramsey Falls Fire,52.520117,-122.7818,Full,2021
-121.535928034083,52.1392309205418,3km W of McIntosh Lakes,0,2.2,3km W of McIntosh Lakes,C32347,3km W of McIntosh Lakes,2021-08-02 12:40:31 PM,,52.139225,-121.535912,Full,2021
-117.669531762354,50.265873288444,Kimbol,0,77,Kimbol,N51734,Kimbol,2021-07-08 6:31:42 PM,KIMBOL,50.265867,-117.669517,Full,2021
-120.859865864456,51.9817389977618,1km W of Willow Swamp Creek,0,0.1,1km W of Willow Swamp Creek,C41617,1km W of Willow Swamp Creek,2021-07-08 5:30:26 PM,,51.981733,-120.85985,Full,2021
-119.076097832665,49.5632230868927,Underhill Road,0,0.05,Underhill Road,N62387,Underhill Road,2021-08-04 3:36:46 AM,UNDERHILL ROAD,49.563217,-119.076083,Full,2021
-120.471215303517,50.3575229685437,West of Stump Lake,0,0.009,West of Stump Lake,K21923,West of Stump Lake,2021-07-08 8:56:02 PM,Frogmoore Creek,50.357517,-120.4712,Full,2021
-116.945964565503,50.058023357536,Schroeder Creek,0,0.04,Schroeder Creek,N71306,Schroeder Creek,2021-07-02 1:30:50 PM,SCHROEDER CREEK,50.058017,-116.94595,Full,2021
-123.433398526968,49.3959885778552,Keats Island,0,0.009,Keats Island,V50229,Keats Island,2021-04-15 4:00:00 PM,,49.395983,-123.433383,Modified,2021
-123.252184256071,54.7082227869682,SE of Carp Lake,0,0.5,SE of Carp Lake,G11784,SE of Carp Lake,2021-07-11 9:30:00 AM,,54.708217,-123.252167,Full,2021
-124.398232924288,50.2676224986699,Daniels River - MODIFIED RESPONSE,0,7,Daniels River - MODIFIED RESPONSE,V50948,Daniels River - MODIFIED RESPONSE,2021-06-26 11:35:39 AM,Daniels River FSR,50.267617,-124.398217,Modified,2021
