X,Y,Name,FIRE_OF_NOTE_IND,FIRE_SIZE_HA,Field_1,Fire Number,GEOGRAPHIC,IGNITION DATE,INCIDENT_NAME,LATITUDE,LONGITUDE,RESPONSE_TYPE_DESC,YEAR
-117.522528734437,49.1466050364699,Marsh Creek Road,0,0.009,Marsh Creek Road,N50404,Marsh Creek Road,2020-06-22 6:15:00 AM,,49.146599,-117.522514,Full,2020
-125.269302897245,49.3629394614355,Great Central Lake,0,0.009,Great Central Lake,V70436,Great Central Lake,2020-06-30 7:00:00 PM,,49.362934,-125.269287,Full,2020
-121.265129876158,52.410204165579,Nikwit Lake,0,0.009,Nikwit Lake,C31807,Nikwit Lake,2020-09-22 10:00:00 AM,,52.410198,-121.265114,Full,2020
-114.86571389258,49.8494747759809,Valley Road FSR,0,0.01,Valley Road FSR,N10891,Valley Road FSR,2020-08-01 8:01:05 PM,,49.849468,-114.8657,Full,2020
-124.963112355199,49.3734718973267,Comox Trail Road,0,0.3,Comox Trail Road,V71804,Comox Trail Road,2020-09-22 12:00:00 PM,,49.373466,-124.963097,Monitor,2020
-116.830184135869,49.6577211451629,Fishhawk,0,0.09,Fishhawk,N71674,Fishhawk,2020-09-08 11:30:06 AM,,49.657715,-116.83017,Full,2020
-119.009481897831,51.0209728408043,The Narrows ,0,0.3,The Narrows,K40800,The Narrows,2020-07-31 11:39:30 PM,,51.020967,-119.009467,Full,2020
-121.542248701263,50.0552731284862,South side of Jackass Mountain,0,0.09,South side of Jackass Mountain,V10355,South side of Jackass Mountain,2020-06-09 8:30:04 PM,,50.055267,-121.542233,Full,2020
-118.494598360448,51.4411721570645,49 Creek,0,0.015,49 Creek,N40838,49 Creek,2020-08-01 1:04:44 AM,,51.441166,-118.494583,Full,2020
-125.886735539875,52.1532722745004,Kidney Lake,0,0.009,Kidney Lake,VA1751,Kidney Lake,2020-09-13 9:10:00 AM,,52.153267,-125.886719,Full,2020
-116.018401309059,50.5209720910253,Eagle Summit Drive,0,0.009,Eagle Summit Drive,N20813,Eagle Summit Drive,2020-08-01 3:00:27 PM,Eagle Ridge Drive,50.520966,-116.018387,Full,2020
-123.700866769667,48.6487062135497,Kapoor Main,0,0.1,Kapoor Main,V60712,Kapoor Main,2020-07-28 12:52:47 PM,,48.648701,-123.700851,Full,2020
-115.849197137583,49.2546234275822,Farrell Creek,0,0.06,Farrell Creek,N11975,Farrell Creek,2021-03-28 1:20:29 PM,,49.254617,-115.849183,Full,2020
-119.439217327448,52.9571900158342,Tete Jaune Cache,0,0.2,Tete Jaune Cache,G30252,Tete Jaune Cache,2020-05-04 3:45:55 PM,,52.957184,-119.439201,Full,2020
-120.511932148941,49.4146215152537,Allenby Creek ,0,0.009,Allenby Creek,K60481,Allenby Creek,2020-07-06 9:48:00 AM,,49.414616,-120.511917,Full,2020
-118.925933533598,50.0316719311837,Lees Lake #1 ,0,1.2,Lees Lake #1,K51321,Lees Lake #1,2020-08-19 9:15:22 AM,Lees Lake,50.031666,-118.925919,Full,2020
-117.477851152064,49.6256738707583,Trozzo Creek,0,0.4,Trozzo Creek,N51262,Trozzo Creek,2020-08-17 6:41:11 PM,Trozzo Creek,49.625668,-117.477837,Full,2020
-120.889014998932,49.3576718700298,S of Wells Lake - Tulameen FSR *MODIFIED RESPONSE*,0,0.009,S of Wells Lake - Tulameen FSR *MODIFIED RESPONSE*,K61675,S of Wells Lake - Tulameen FSR *MODIFIED RESPONSE*,2020-09-08 6:23:54 AM,,49.357666,-120.889,Modified,2020
-119.93278196256,50.6525227169926,Shuswap Rd,0,3.1,Shuswap Rd,K21864,Shuswap Rd,2021-03-13 10:45:46 AM,River Vista,50.652517,-119.932767,Full,2020
-121.454084272424,56.2361243705074,Upper Cache,0,114,Upper Cache,G80116,Upper Cache,2020-04-17 12:00:00 PM,,56.236118,-121.454067,Full,2020
-117.570464282609,49.2960382405415,Aaron Hill,0,0.65,Aaron Hill,N51328,Aaron Hill,2020-08-16 12:08:28 PM,Aaron Hill,49.296032,-117.57045,Full,2020
-118.046264743935,51.9868227393789,Kinbasket Mountain ,0,3,Kinbasket Mountain,N41302,Kinbasket Mountain,2020-08-18 5:20:00 PM,,51.986816,-118.046249,Full,2020
-123.8581468891,49.0095537117627,Oyster Sto-Lo Rd,0,0.02,Oyster Sto-Lo Rd,V61131,Oyster Sto-Lo Rd,2020-08-16 11:21:49 AM,,49.009548,-123.858131,Full,2020
-120.425834602532,57.4643729110713,Milligan Hills,0,0.009,Milligan Hills,G80981,Milligan Hills,2020-08-08 2:36:01 PM,,57.464367,-120.425817,Full,2020
-115.705430938343,49.7522731770159,Kootenay River,0,4.9,Kootenay River,N11283,Kootenay River,2020-08-18 12:48:07 PM,,49.752267,-115.705417,Full,2020
