X,Y,Name,WILDFIRE_YEAR,INCIDENT_NUMBER_LABEL,IGNITION_DATE,FIRE_SIZE_HA,GEOGRAPHIC_DESCRIPTION,LATITUDE,LONGITUDE
-120.345833,58.53775,G90235,2019,G90235,2019/05/11 14:57:00,0.2,,58.53775,-120.34583333
-128.897117,55.80145,R50229,2019,R50229,2019/05/11 15:30:53,0.009,.6km south of Arbor FSR on Hwy 16,55.80145,-128.89711667
-115.255467,49.12325,N10571,2019,N10571,2019/06/14 10:43:28,0.015,Strauss Rd,49.12325,-115.25546667
-119.034933,50.865967,K41743,2019,K41743,2019/09/07 21:30:18,0.009,Old Town Creek,50.86596667,-119.03493333
-119.778917,49.3017,K50166,2019,K50166,2019/05/02 11:17:39,0.1,White Lake Road,49.3017,-119.77891667
-120.653617,56.09265,G70113,2019,G70113,2019/04/25 08:30:55,1.9,Taylor,56.09265,-120.65361667
-123.030167,50.058367,V31369,2019,V31369,2019/08/10 16:40:00,0.009,4km Chekamus Lake FSR,50.05836667,-123.03016667
-120.887017,52.302367,C30575,2019,C30575,2019/06/13 22:45:17,0.009,4 Km NW of McKinley Lake,52.30236667,-120.88701667
-128.250133,55.015033,R40780,2019,R40780,2019/06/29 12:00:49,0.1,Gull Creek,55.01503333,-128.25013333
-121.662867,56.445133,G80260,2019,G80260,2019/04/08 13:24:50,300,Cameron River,56.44513333,-121.66286667
-123.6961,48.747867,V60553,2019,V60553,2019/06/13 19:22:00,0.2,Koksilah Rd,48.74786667,-123.6961
-123.498233,49.460183,V51075,2019,V51075,2019/07/24 07:45:55,0.009,Port Mellon Highway,49.46018333,-123.49823333
-121.0325,50.233633,K60264,2019,K60264,2019/05/05 08:30:57,0.009,Gordon Creek FSR,50.2336333,-121.0325
-121.996883,49.472333,V10694,2019,V10694,2019/06/22 17:00:00,0.15,N end Chehalis lake,49.4723333,-121.9968833
-121.899414,50.642666,K71855,2019,K71855,2020/03/21 00:00:00,0.6,Texas Crk Rd,50.6426659,-121.8994141
-121.886116,50.743401,K71853,2019,K71853,2020/03/20 15:00:00,0.8,N of Hwy 99 Fountain Flats,50.7434006,-121.886116
-121.558418,50.105351,K71854,2019,K71854,2020/03/20 14:00:00,0.04,Nekliptum Creek,50.1053505,-121.5584183
-121.29998,50.575417,K21852,2019,K21852,2020/03/20 12:56:12,5.9,Epsom Flats Park,50.5754166,-121.2999802
-116.797867,51.155315,N41857,2019,N41857,2020/03/22 13:30:00,0.009,Rauch Road, south of Nicholson,51.1553154
-116.44225,49.023933,N71858,2019,N71858,2020/03/22 15:45:00,0.8,Creston/ Canyon Lister Road,49.02393333,-116.44225
-126.953083,53.916667,R21324,2019,R21324,2019/08/09 12:00:00,0.25,NE Nadina Lake,53.91666667,-126.95308333
-120.205083,49.404517,K60635,2019,K60635,2019/06/16 17:22:22,0.009,Nissen Creek,49.40451667,-120.20508333
-122.0345,51.859333,C20533,2019,C20533,2019/06/13 10:01:00,0.009,Cludolicum 9,51.85933333,-122.0345
-123.762482,49.517201,V51864,2019,V51864,2020/03/23 12:00:00,2,Sandy Hook,49.5172005,-123.7624817
-119.9559,50.6485,K21867,2019,K21867,2020/03/27 16:06:34,0.009,Kamloops,50.6485,-119.9559
-115.1698,49.176633,N11847,2019,N11847,2020/03/17 10:12:32,0.3,Elk River Bridge,49.17663333,-115.1698
-126.6566,54.377117,R21806,2019,R21806,2019/09/23 10:30:00,0.1,Lund Subdivision,54.37711667,-126.6566
-125.104867,49.638833,V81870,2019,V81870,2020/03/29 14:00:00,0.001,Comox Lake Mainline,49.63883333,-125.10486667
-115.649917,49.630017,N11868,2019,N11868,2020/03/28 13:35:43,0.009,Cranbrook,49.63001667,-115.64991667
-116.596718,49.087799,N71865,2019,N71865,2020/03/26 14:35:00,0.009,Creston,49.0877991,-116.5967178
-115.675217,49.563133,N11860,2019,N11860,2020/03/22 11:00:00,0.02,Overpass Pasture,49.5631333,-115.6752167
-121.601601,50.266182,K71861,2019,K71861,2020/03/24 12:00:00,0.33,Stein School,50.2661819,-121.6016006
-119.447333,49.07315,K51836,2019,K51836,2019/11/07 11:18:36,80,Mica Creek,49.07315,-119.4473333
-121.573334,50.263619,K71856,2019,K71856,2020/03/19 10:35:20,66,Alkaki Rd,50.2636185,-121.5733337
-115.810567,49.608483,N11866,2019,N11866,2020/03/26 14:50:00,0.45,Wycliffe,49.6084833,-115.8105667
-130.612167,56.761067,R90919,2019,R90919,2019/07/10 00:00:00,0.009,W side of Iskut River 2,56.76106667,-130.61216667
-119.477817,51.0338,K40551,2019,K40551,2019/06/13 17:51:23,0.009,Scotch Creek FSR,51.0338,-119.47781667
-118.438467,50.411083,K40423,2019,K40423,2019/05/30 14:58:00,0.009,Kealy Creek,50.41108333,-118.43846667
-115.743467,49.9778,N20572,2019,N20572,2019/06/13 19:19:11,2.3,Johnson Road,49.9778,-115.7434667
-123.887117,48.416267,V60778,2019,V60778,2019/06/29 09:49:00,0.009,Kirby Creek,48.4162667,-123.8871167
-117.307167,49.124067,N50655,2019,N50655,2019/06/17 16:26:59,0.01,Hellroaring Creek,49.12406667,-117.30716667
-122.026398,52.108467,C20180,2019,C20180,2019/05/05 18:30:00,0.009,Kinglet Road,52.1084671,-122.02639771
-117.4135,49.86995,N50926,2019,N50926,2019/07/10 20:32:49,0.009,Brahms Creek,49.86995,-117.4135
-118.117867,49.573117,N50973,2019,N50973,2019/06/27 19:52:59,0.01,Gladstone,49.57311667,-118.11786667
-119.027517,49.326233,N61093,2019,N61093,2019/07/23 22:08:34,0.009,Boyer Creek,49.32623333,-119.02751667
-120.881517,49.130533,V11190,2019,V11190,2019/08/02 18:00:00,0.009,Allison Pass, Manning Park,49.13053333
-124.0188,53.1911,C10094,2019,C10094,2019/02/21 08:42:11,10,3KM S of Kluskoil Lake,53.1911,-124.0188
-120.621667,49.639167,K61665,2019,K61665,2019/09/03 04:20:55,0.009,SW of Dry Lake,49.63916667,-120.62166667
-125.4014,49.342883,V70755,2019,V70755,2019/06/26 19:29:28,0.009,SW Great Central Lake #2,49.34288333,-125.4014
-119.516367,49.1677,K51162,2019,K51162,2019/07/30 12:30:00,0.009,Area 27 Drive,49.1677,-119.51636667
-123.609733,54.085383,G41479,2019,G41479,2019/08/20 07:10:38,0.2,Lind Rd,54.08538333,-123.60973333
-119.767717,49.92275,K51713,2019,K51713,2019/09/05 19:06:18,0.009,Gorilla FSR,49.92275,-119.76771667
-118.413817,49.055767,N60422,2019,N60422,2019/05/30 16:30:07,0.009,Overton Creek,49.05576667,-118.41381667
-120.497683,51.690933,K20417,2019,K20417,2019/05/30 14:37:03,15.3,Windy Lake,51.69093333,-120.49768333
-118.355133,49.064033,N61172,2019,N61172,2019/07/24 06:26:33,0.06,Mount Morrissey,49.06403333,-118.35513333
-116.850717,49.443867,N70567,2019,N70567,2019/06/13 16:28:00,0.3,Mount Drewry,49.44386667,-116.85071667
-117.27395,49.526533,N71181,2019,N71181,2019/08/02 15:00:34,0.09,Foster Creek,49.52653333,-117.27395
-118.290333,51.0387,N41399,2019,N41399,2019/08/14 11:00:00,0.009,Jordan River,51.0387,-118.29033333
-118.893133,51.125617,K41396,2019,K41396,2019/08/14 03:00:00,0.009,Anstey,51.12561667,-118.89313333
-127.422432,54.914116,R30763,2019,R30763,2019/06/26 21:18:00,0,Trout Creek,54.9141159,-127.4224319
-120.65405,49.800517,K61688,2019,K61688,2019/09/03 15:30:26,0.009,Otter Valley,49.80051667,-120.65405
-121.480133,53.33325,G11294,2019,G11294,2019/08/06 16:18:00,0.009,Wells,53.33325,-121.48013333
-123.497867,49.493867,V50677,2019,V50677,2019/06/19 13:55:39,3,W. of Avalon Log Sort,49.49386667,-123.49786667
-120.64615,49.6388,K61690,2019,K61690,2019/09/03 16:35:00,0.009,Pike Mountain,49.6388,-120.64615
-121.665383,51.8642,C40934,2019,C40934,2019/07/11 19:50:00,0.009,Down Wright Station Rd,51.8642,-121.66538333
-120.73525,50.800683,K20409,2019,K20409,2019/05/30 13:34:59,1,Painted Bluff,50.80068333,-120.73525
-123.264183,54.130283,G11285,2019,G11285,2019/08/05 13:00:02,0.009,Taginchil Lake,54.13028333,-123.26418333
-116.662433,49.12805,N70555,2019,N70555,2019/06/13 18:34:10,0.01,Mount Creston,49.12805,-116.66243333
-127.614083,55.263667,R40076,2019,R40076,2019/04/20 13:29:34,0.15,Sunnyside Ave Two Mile,55.26366667,-127.61408333
-126.639283,50.84575,V90880,2019,V90880,2019/07/04 23:59:30,0.09,Moore Point,50.84575,-126.63928333
-125.963654,55.484684,G50191,2019,G50191,2019/05/08 12:00:32,2.5,Takla Landing,55.484684,-125.9636536
-119.3053,49.849167,K50980,2019,K50980,2019/07/18 11:20:00,0.009,Medicine Creek,49.84916667,-119.3053
-119.631567,49.21965,K50570,2019,K50570,2019/06/14 11:00:00,0.009,South of Madden Lake,49.21965,-119.63156667
-115.99895,49.652333,N10249,2019,N10249,2019/05/12 10:00:43,0.9,Murtle Mountain,49.65233333,-115.99895
-124.963833,54.32475,G41313,2019,G41313,2019/08/08 10:58:00,2,Sutherland Dipper,54.32475,-124.9638333
-120.859583,50.131733,K60152,2019,K60152,2019/05/01 12:00:00,17.1,Nicola River,50.13173333,-120.85958333
-117.6949,49.29755,N50549,2019,N50549,2019/06/13 16:32:56,0.009,Merry Creek,49.29755,-117.6949
-128.974567,55.08225,R51152,2019,R51152,2019/08/20 11:00:00,0.1,Lava Lake,55.08225,-128.97456667
-116.4931,49.127417,N70633,2019,N70633,2019/06/16 14:30:00,0.002,Arrow Creek,49.12741667,-116.4931
-118.752667,50.752117,K41592,2019,K41592,2019/08/31 00:00:00,4,Kingfisher Creek,50.7521167,-118.7526667
-122.3329,54.139,G11010,2019,G11010,2019/07/19 18:22:34,0.009,Prince George,54.139,-122.3329
-123.209333,55.769167,G61388,2019,G61388,2019/08/13 09:23:00,0.6,Mackenzie,55.76916667,-123.20933333
-125.978,52.380017,VA0042,2019,VA0042,2019/04/04 18:00:00,0.009,Atnarko River,52.38001667,-125.978
-115.9485,49.691717,N10292,2019,N10292,2019/05/15 15:45:32,0.03,Drinkwater road,49.69171667,-115.9485
-128.635733,59.571083,R90376,2019,R90376,2019/05/25 10:46:11,1935,Black Angus Creek,59.57108333,-128.63573333
-120.68205,55.941517,G70313,2019,G70313,2019/05/20 11:00:23,0.2,Dawson Creek,55.94151667,-120.68205
-124.404717,49.672367,V51724,2019,V51724,2019/09/03 14:30:00,0.25,Nelson Rd,49.67236667,-124.40471667
-119.703617,50.503333,K41176,2019,K41176,2019/08/01 12:05:00,0.009,Ingram Creek,50.50333333,-119.70361667
-124.0381,48.814867,V60139,2019,V60139,2019/04/28 12:47:23,1.5,Fairservice Mainline,48.81486667,-124.0381
-123.96295,49.672467,V51270,2019,V51270,2019/08/05 16:04:00,3.8,Sakinaw Lake,49.67246667,-123.96295
-115.825833,50.026383,N20354,2019,N20354,2019/05/20 15:00:00,0.02,Copper Creek,50.02638333,-115.82583333
-121.018267,54.080433,G11810,2019,G11810,2019/10/02 16:20:50,0.009,Mount Hedrick,54.08043333,-121.01826667
-116.555983,49.18535,N71627,2019,N71627,2019/09/02 14:00:09,0.4,Wyndell,49.18535,-116.55598333
-119.8105,49.45375,K50280,2019,K50280,2019/05/14 09:30:13,0.009,Shatford Creek,49.45375,-119.8105
-121.424033,49.14675,V11273,2019,V11273,2019/08/05 15:00:00,0.2,Greendrop Lake,49.14675,-121.42403333
-121.8737,58.233667,G91031,2019,G91031,2019/07/21 19:12:40,2.3,4.5 nm South of Fontas and Sikanni,58.23366667,-121.8737
-127.381517,54.990867,R30761,2019,R30761,2019/06/26 21:00:02,0.2,SW of Moricetown,54.99086667,-127.38151667
-120.532517,49.813383,K61720,2019,K61720,2019/09/03 19:51:54,0.15,Missezula Lk,49.81338333,-120.53251667
-115.440683,50.254617,N20636,2019,N20636,2019/06/13 14:48:00,5,Mount Dorman,50.25461667,-115.44068333
-120.219783,49.41025,K60634,2019,K60634,2019/06/16 16:17:24,0.009,Arcat Creek,49.41025,-120.21978333
-130.32634,57.856998,R91411,2019,R91411,2019/08/15 09:51:04,0.06,Kakiddi creek,57.8569984,-130.3263397
-116.048833,50.503583,N20475,2019,N20475,2019/06/03 19:00:44,0.02,Toby Creek,50.50358333,-116.04883333
-126.70925,50.803633,V90876,2019,V90876,2019/07/04 23:59:30,0.25,Twin Lagoon,50.80363333,-126.70925
-119.2618,49.588533,K51401,2019,K51401,2019/08/14 11:40:55,0.009,Wilkinson Creek,49.58853333,-119.2618
-116.074733,49.498817,N11370,2019,N11370,2019/08/10 15:29:46,0.009,Perry Creek,49.49881667,-116.07473333
-118.411083,49.137417,N61230,2019,N61230,2019/07/23 19:22:52,1.1,Toronto Creek,49.13741667,-118.41108333
-119.145667,52.8155,G30546,2019,G30546,2019/06/12 20:21:08,0.009,Home Creek,52.8155,-119.14566667
-124.59055,48.890833,V71808,2019,V71808,2019/10/14 11:00:00,0.5,Nitinat,48.89083333,-124.59055
-123.313567,49.942417,V31716,2019,V31716,2019/09/06 08:30:00,0.009,10km Upper Squamish,49.94241667,-123.31356667
-124.064033,49.2177,V70303,2019,V70303,2019/05/18 14:45:23,0.1,6617 Brannan Lake,49.2177,-124.06403333
-120.845067,55.81125,G70282,2019,G70282,2019/05/14 08:36:07,0.2,Groundbirch,55.81125,-120.84506667
-120.52725,49.163967,K61766,2019,K61766,2019/09/07 18:45:26,0.16,Bobcat FSR,49.16396667,-120.52725
