X,Y,Name,CURRENT_SIZE,FIRE_NUMBER,FIRE_YEAR,Field_1,GEOGRAPHIC_DESCRIPTION,IGNITION_DATE,LATITUDE,LONGITUDE
-114.411611986021,49.0043743662394,N11984,903.1,N11984,2017,N11984,Elder Creek,2017/08/31,49.0044,-114.4116
-114.30038047645,49.0681065814278,N11985,0,N11985,2017,N11985,1km N of N11966 - Duplicate of 1966,2017/08/31,49.0681,-114.3004
-114.302496372919,49.0597408810031,N11966,15448.8,N11966,2017,N11966,Kenow Mountain,2017/08/30,49.0597,-114.3025
-114.849943693509,49.0940578235079,N11987,0.09,N11987,2017,N11987,Wigwam Creek,2017/08/30,49.0941,-114.8499
-114.832380804802,49.1164577262293,N11989,0.009,N11989,2017,N11989,Desolation Creek,2017/08/30,49.1165,-114.8324
-114.824232570053,49.0107067191998,N12000,0.15,N12000,2017,N12000,Rabbit Creek,2017/08/30,49.0107,-114.8242
-114.702963360317,49.0942066397407,N12018,98,N12018,2017,N12018,Cabin Creek-Modified Response,2017/09/01,49.0942,-114.7029
-115.022345115549,49.0122059020762,N11979,0.15,N11979,2017,N11979,Mount Mahaney,2017/08/30,49.0122,-115.0223
-115.023031740221,49.1206386037176,N11974,0.05,N11974,2017,N11974,Willie Phillipps Creek,2017/08/30,49.1206,-115.023
-115.022383216322,49.0497080999248,N11986,0.1,N11986,2017,N11986,Miller Creek,2017/08/30,49.0497,-115.0224
-115.106397250674,49.1136231937844,N11440,0.009,N11440,2017,N11440,Tye Lake Rec Site #8, Loon Lake,2017/07/29,49.1136
-115.170515688126,49.1828410970885,N11605,2,N11605,2017,N11605,Elk River,2017/08/07,49.1828,-115.1705
-115.229513769671,49.079706879904,N10534,0.2,N10534,2017,N10534,Gold Creek,2017/07/02,49.0797,-115.2295
-115.19001395292,49.0677231818215,N10935,0.009,N10935,2017,N10935,Flagstone Flats,2017/07/09,49.0677,-115.19
-114.000013458237,48.0000065298968,G41607,0,G41607,2017,G41607,Vanderhoof,2017/08/07,48,-114
-114.949364048275,49.6254398502192,N11056,0.06,N11056,2017,N11056,Ladner FSR approximately 7km,,2017/07/13,49.6254
-115.118483274277,49.6072223348888,N12182,0.009,N12182,2017,N12182,Mt Bisaro,2017/09/22,49.6072,-115.1185
-115.077681278372,49.6080387390092,N11673,0.009,N11673,2017,N11673,Olivia Creek,2017/08/10,49.608,-115.0777
-114.854164003038,49.4948398533665,N11957,0,N11957,2017,N11957,Coal Creek Pass FSR,2017/08/30,49.4948,-114.8542
-115.124113747324,49.4704578211097,N11967,0.02,N11967,2017,N11967,Lizard Creek,2017/08/30,49.4705,-115.1241
-115.13681665246,49.4886387229458,N11635,0.3,N11635,2017,N11635,Lizard Creek,2017/08/08,49.4886,-115.1368
-115.154364255893,49.4808071147882,N11665,0.009,N11665,2017,N11665,Lizard Range,2017/08/10,49.4808,-115.1544
-114.691099732374,49.3560894620386,N12121,0.3,N12121,2017,N12121,McLatchie Creek,2017/08/30,49.3561,-114.6911
-114.624632404546,49.3257396631833,N11189,10.5,N11189,2017,N11189,Shepp Creek - Modified Response,2017/07/15,49.3257,-114.6246
-114.596167119424,49.3704898743081,N11978,270,N11978,2017,N11978,Centre Mountain - Modified Response,2017/08/30,49.3705,-114.5962
-114.567213602882,49.3276394719762,N12123,0.4,N12123,2017,N12123,Pollock Creek,2017/08/30,49.3276,-114.5672
-115.058813718856,49.3923404209032,N11638,0.04,N11638,2017,N11638,Lizard Range,2017/08/08,49.3923,-115.0588
-115.147464010378,49.3169065119074,N11044,0.009,N11044,2017,N11044,Burton Lake,2017/07/12,49.3169,-115.1475
-115.071747289639,49.3016232108114,N10802,0.009,N10802,2017,N10802,Colvalli Road,2017/07/08,49.3016,-115.0717
-114.939283947155,49.2195575218505,N11976,5800,N11976,2017,N11976,Soowa Mountain,2017/08/30,49.2196,-114.9393
-114.766348433435,49.2833393471212,N11971,1751,N11971,2017,N11971,Lodgepole FSR,2017/08/30,49.2833,-114.7663
-114.977698185157,50.1236065855828,N11793,0.03,N11793,2017,N11793,Mount Bingay,2017/08/08,50.1236,-114.9777
-114.970381585827,50.1263569824357,N12240,0.25,N12240,2017,N12240,ElkValley West,2017/10/04,50.1264,-114.9704
-114.973430878686,50.0998398848895,N11313,0,N11313,2017,N11313,Green HIlls Mine,2017/07/23,50.0998,-114.9734
-114.939429065048,50.0745075805597,N11617,0.009,N11617,2017,N11617,Elk River,2017/08/07,50.0745,-114.9394
-114.91963075935,50.0834415892773,N10477,0.009,N10477,2017,N10477,Elk River,2017/07/01,50.0834,-114.9196
-114.968550445491,49.9897564728445,N10485,0.01,N10485,2017,N10485,Boivin Creek,2017/06/26,49.9897,-114.9685
-114.932097244329,49.9863880739666,N10505,0.009,N10505,2017,N10505,South of Elkford,2017/06/26,49.9864,-114.9321
-114.896930831288,49.9768232811731,N11091,0,N11091,2017,N11091,Elkford,2017/07/14,49.9768,-114.8969
-114.886267436577,49.9782398868115,N11619,0.009,N11619,2017,N11619,Fording Mountain,2017/08/07,49.9782,-114.8863
-114.93102912657,49.9393566773784,N11669,0.18,N11669,2017,N11669,Weigert Creek,2017/08/08,49.9394,-114.931
-114.930214132635,49.9352732724889,N11670,0,N11670,2017,N11670,Weigert Creek#2,2017/08/11,49.9353,-114.9302
-114.908400327862,49.9237583748522,N12258,0.05,N12258,2017,N12258,Weigert Creek,2017/10/10,49.9238,-114.9084
-114.805212722472,50.0078571915385,N11732,0.05,N11732,2017,N11732,Fording River,2017/08/07,50.0079,-114.8052
-114.993483325058,49.8535907615835,N11660,0.009,N11660,2017,N11660,Nordstrom Creek,2017/08/08,49.8536,-114.9935
-114.763350146426,49.7638233790037,N11738,0.04,N11738,2017,N11738,Mount Erickson,2017/08/12,49.7638,-114.7633
-115.418547402632,49.4322731841075,N11287,0.009,N11287,2017,N11287,Wardner - Fort Steele Rd south end,2017/07/22,49.4323,-115.4185
-115.221680744962,49.3710065038343,N12128,0.01,N12128,2017,N12128,Galloway Mill,2017/09/13,49.371,-115.2217
