station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
0.0, 0.0, 0.0, 2020-01-01 00:00:00, 0.0
26.0, 26.0, 0.0, 2020-01-02 00:00:00, 0.0
21.0, 21.0, 0.0, 2020-01-03 00:00:00, 0.0
6.2, 6.2, 0.0, 2020-01-04 00:00:00, 0.0
23.4, 23.4, 0.0, 2020-01-05 00:00:00, 0.0
32.0, 32.0, 0.0, 2020-01-06 00:00:00, 0.0
18.0, 18.0, 0.0, 2020-01-07 00:00:00, 0.0
0.8, 0.8, 0.0, 2020-01-08 00:00:00, 0.0
4.0, 4.0, 0.0, 2020-01-09 00:00:00, 0.0
30.0, 30.0, 0.0, 2020-01-10 00:00:00, 0.0
14.0, 14.0, 0.0, 2020-01-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-01-13 00:00:00, 0.0
8.0, 8.0, 0.0, 2020-01-14 00:00:00, 0.0
12.0, 12.0, 0.0, 2020-01-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-01-16 00:00:00, 0.0
9.4, 9.4, 0.0, 2020-01-17 00:00:00, 0.0
4.2, 4.2, 0.0, 2020-01-18 00:00:00, 0.0
10.0, 10.0, 0.0, 2020-01-20 00:00:00, 0.0
16.0, 16.0, 0.0, 2020-01-21 00:00:00, 0.0
28.0, 28.0, 0.0, 2020-01-22 00:00:00, 0.0
30.0, 30.0, 0.0, 2020-01-23 00:00:00, 0.0
16.0, 16.0, 0.0, 2020-01-24 00:00:00, 0.0
9.7, 9.7, 0.0, 2020-01-25 00:00:00, 0.0
10.3, 10.3, 0.0, 2020-01-26 00:00:00, 0.0
7.0, 7.0, 0.0, 2020-01-27 00:00:00, 0.0
6.5, 6.5, 0.0, 2020-01-28 00:00:00, 0.0
22.0, 22.0, 0.0, 2020-01-29 00:00:00, 0.0
22.0, 22.0, 0.0, 2020-01-30 00:00:00, 0.0
42.0, 42.0, 0.0, 2020-01-31 00:00:00, 0.0
0.2, 0.2, 0.0, 2020-02-01 00:00:00, 0.0
3.3, 3.3, 0.0, 2020-02-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-03 00:00:00, 0.0
21.0, 21.0, 0.0, 2020-02-04 00:00:00, 0.0
4.0, 4.0, 0.0, 2020-02-05 00:00:00, 0.0
6.0, 6.0, 0.0, 2020-02-06 00:00:00, 0.0
14.0, 14.0, 0.0, 2020-02-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-08 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-09 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-12 00:00:00, 0.0
6.0, 6.0, 0.0, 2020-02-13 00:00:00, 0.0
12.0, 12.0, 0.0, 2020-02-14 00:00:00, 0.0
9.9, 9.9, 0.0, 2020-02-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-16 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-18 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2020-02-20 00:00:00, 0.0
8.0, 8.0, 0.0, 2020-02-21 00:00:00, 0.0
