AirTemperature,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
11.3,0.0,5.9, None,2018-05-07 00:00:00,251.0,76.0,19
11.0,0.0,6.2, None,2018-05-07 00:15:00,262.0,78.0,19
10.9,0.0,7.6, None,2018-05-07 00:30:00,237.0,81.0,19
11.0,0.0,9.2, None,2018-05-07 00:45:00,228.0,80.0,19
10.6,0.0,11.5, None,2018-05-07 01:00:00,234.0,84.0,19
10.1,0.0,15.0, None,2018-05-07 01:15:00,228.0,85.0,19
10.1,0.0,13.4, None,2018-05-07 01:30:00,231.0,85.0,19
10.1,0.0,10.1, None,2018-05-07 01:45:00,224.0,87.0,19
9.9,0.0,10.2, None,2018-05-07 02:00:00,243.0,86.0,19
10.2,0.0,12.1, None,2018-05-07 02:15:00,238.0,85.0,19
10.2,0.0,10.8, None,2018-05-07 02:30:00,237.0,83.0,19
10.2,0.0,12.6, None,2018-05-07 02:45:00,231.0,81.0,19
10.5,0.0,9.8, None,2018-05-07 03:00:00,242.0,81.0,19
10.3,0.0,11.6, None,2018-05-07 03:15:00,229.0,81.0,19
10.6,0.0,11.3, None,2018-05-07 03:30:00,246.0,81.0,19
10.7,0.0,13.4, None,2018-05-07 03:45:00,263.0,78.0,19
10.6,0.0,9.3, None,2018-05-07 04:00:00,280.0,78.0,19
10.4,0.0,8.8, None,2018-05-07 04:15:00,268.0,79.0,19
10.0,0.0,7.4, None,2018-05-07 04:30:00,254.0,82.0,19
9.8,0.0,6.8, None,2018-05-07 04:45:00,252.0,84.0,19
9.6,0.0,6.4, None,2018-05-07 05:00:00,270.0,85.0,19
9.8,0.0,7.5, None,2018-05-07 05:15:00,271.0,83.0,19
10.2,0.0,7.0, None,2018-05-07 05:30:00,234.0,79.0,19
10.4,0.0,9.0, None,2018-05-07 05:45:00,248.0,80.0,19
11.1,0.0,8.4, None,2018-05-07 06:00:00,252.0,77.0,19
11.3,0.0,8.3, None,2018-05-07 06:15:00,252.0,76.0,19
11.6,0.0,5.8, None,2018-05-07 06:30:00,244.0,77.0,19
12.3,0.0,4.4, None,2018-05-07 06:45:00,246.0,72.0,19
13.6,0.0,4.7, None,2018-05-07 07:00:00,176.0,66.0,19
13.7,0.0,5.3, None,2018-05-07 07:15:00,193.0,69.0,19
13.9,0.0,5.8, None,2018-05-07 07:30:00,191.0,67.0,19
14.6,0.0,7.1, None,2018-05-07 07:45:00,186.0,62.0,19
15.0,0.0,5.8, None,2018-05-07 08:00:00,199.0,63.0,19
15.0,0.0,7.0, None,2018-05-07 08:15:00,206.0,62.0,19
15.8,0.0,6.9, None,2018-05-07 08:30:00,182.0,58.0,19
16.1,0.0,8.0, None,2018-05-07 08:45:00,189.0,58.0,19
16.2,0.0,9.0, None,2018-05-07 09:00:00,208.0,56.0,19
16.7,0.0,7.0, None,2018-05-07 09:15:00,213.0,57.0,19
17.8,0.0,7.2, None,2018-05-07 09:30:00,195.0,56.0,19
18.7,0.0,4.9, None,2018-05-07 09:45:00,160.0,53.0,19
19.0,0.0,6.4, None,2018-05-07 10:00:00,155.0,55.0,19
19.1,0.0,7.8, None,2018-05-07 10:15:00,87.0,55.0,19
19.6,0.0,6.1, None,2018-05-07 10:30:00,74.0,54.0,19
19.6,0.0,8.1, None,2018-05-07 10:45:00,118.0,54.0,19
19.5,0.0,9.3, None,2018-05-07 11:00:00,128.0,54.0,19
19.7,0.0,7.9, None,2018-05-07 11:15:00,99.0,52.0,19
19.7,0.0,8.0, None,2018-05-07 11:30:00,79.0,54.0,19
19.7,0.0,8.5, None,2018-05-07 11:45:00,75.0,53.0,19
19.7,0.0,8.2, None,2018-05-07 12:00:00,96.0,53.0,19
19.8,0.0,9.5, None,2018-05-07 12:15:00,115.0,50.0,19
19.6,0.0,11.8, None,2018-05-07 12:30:00,144.0,52.0,19
19.9,0.0,9.5, None,2018-05-07 12:45:00,127.0,49.0,19
20.3,0.0,9.1, None,2018-05-07 13:00:00,169.0,51.0,19
20.2,0.0,12.2, None,2018-05-07 13:15:00,194.0,49.0,19
20.6,0.0,9.4, None,2018-05-07 13:30:00,206.0,49.0,19
20.7,0.0,11.3, None,2018-05-07 13:45:00,191.0,47.0,19
21.8,0.0,7.9, None,2018-05-07 14:00:00,221.0,45.0,19
21.3,0.0,11.3, None,2018-05-07 14:15:00,130.0,47.0,19
21.7,0.0,9.1, None,2018-05-07 14:30:00,158.0,45.0,19
