X,Y,Name,WILDFIRE_YEAR,INCIDENT_NUMBER_LABEL,IGNITION_DATE,FIRE_SIZE_HA,GEOGRAPHIC_DESCRIPTION,LATITUDE,LONGITUDE
-124.358284,48.915916,V60377,2020,V60377,2020/06/14 16:51:05,0.009,North Side of Lake Cowichan,48.9159164,-124.358284
-123.299332,49.9622,V30386,2020,V30386,2020/06/19 19:16:00,0.009,Squamish River FSR,49.9622002,-123.2993317
-121.5316,50.099167,K70415,2020,K70415,2020/06/27 12:45:00,1.9,Siwash Creek,50.09916667,-121.5316
-118.93512,49.20895,N60029,2020,N60029,2020/04/09 15:52:43,0.1,Fiva Creek,49.20895,-118.9351196
-124.509033,49.357601,V70223,2020,V70223,2020/05/08 08:30:52,0.1,W. Allgard Rd,49.3576012,-124.5090332
-123.155449,51.998684,C50084,2020,C50084,2020/04/16 00:00:00,0.34,Anaham IR East End,51.9986839,-123.1554489
-120.03865,50.653033,K20175,2020,K20175,2020/04/30 12:41:17,0.8,Kamloops Stock Yard,50.65303333,-120.03865
-122.16405,56.03345,G70188,2020,G70188,2020/05/02 12:00:00,1.84,Getty's Bay, Bullhead Mountain,56.03345
-120.695633,49.971916,K60282,2020,K60282,2020/05/16 18:15:00,0.009,Harmon Lake,49.9719162,-120.6956329
-121.549667,49.370632,V10066,2020,V10066,2020/04/15 11:00:28,0.1,Chawathil,49.3706322,-121.5496674
-121.5606,50.294483,K70039,2020,K70039,2020/04/10 21:00:00,0.009,Revolution Ranch,50.2944832,-121.5606003
-127.472366,55.215717,R40241,2020,R40241,2020/05/10 07:00:00,0.05,10 mins E of New Hazelton,55.2157173,-127.4723663
-118.739883,50.250583,K40284,2020,K40284,2020/05/16 19:00:00,0.36,Olive FSR,50.25058333,-118.73988333
-122.052133,55.618383,G70263,2020,G70263,2020/05/13 14:30:00,10,Pine River,55.6183833,-122.0521333
-122.471001,54.071934,G10132,2020,G10132,2020/04/22 15:30:17,0.2,Willow River,54.0719337,-122.4710007
-115.618233,49.526852,N10218,2020,N10218,2020/05/05 17:00:48,0.009,Rampart Flats,49.5268517,-115.6182327
-122.595451,50.303368,V30033,2020,V30033,2020/04/10 09:13:56,0.017,Lillooet Lake Road bridge #2,50.3033676,-122.5954514
-127.05875,54.798533,R30209,2020,R30209,2020/05/04 00:00:00,0.2,Driftwood Lodge,54.7985333,-127.05875
-121.266769,50.386185,K70215,2020,K70215,2020/05/05 17:00:00,0.1,Highway 8 5km North of Spences Bridge,50.3861847,-121.2667694
-115.720047,49.552784,N10192,2020,N10192,2020/05/02 14:30:00,0.28,Joseph Creek,49.552784,-115.720047
-127.056297,54.818367,R30235,2020,R30235,2020/05/09 14:50:00,0.2,Driftwood Creek FSR,54.818367,-127.0562973
