X,Y,Name,WILDFIRE_YEAR,INCIDENT_NUMBER_LABEL,IGNITION_DATE,FIRE_SIZE_HA,GEOGRAPHIC_DESCRIPTION,LATITUDE,LONGITUDE
-120.345852,58.537756,G90235,2019,G90235,2019/05/11 14:57:00,0.2,,58.53775,-120.34583333
-128.897135,55.801455,R50229,2019,R50229,2019/05/11 15:30:53,0.009,.6km south of Arbor FSR on Hwy 16,55.80145,-128.89711667
-115.255481,49.123256,N10571,2019,N10571,2019/06/14 10:43:28,0.015,Strauss Rd,49.12325,-115.25546667
-119.034949,50.865973,K41743,2019,K41743,2019/09/07 21:30:18,0.009,Old Town Creek,50.86596667,-119.03493333
-119.778932,49.301706,K50166,2019,K50166,2019/05/02 11:17:39,0.1,White Lake Road,49.3017,-119.77891667
-120.653634,56.092656,G70113,2019,G70113,2019/04/25 08:30:55,1.9,Taylor,56.09265,-120.65361667
-123.030182,50.058372,V31369,2019,V31369,2019/08/10 16:40:00,0.009,4km Chekamus Lake FSR,50.05836667,-123.03016667
-120.887033,52.302373,C30575,2019,C30575,2019/06/13 22:45:17,0.009,4 Km NW of McKinley Lake,52.30236667,-120.88701667
-128.250151,55.015038,R40780,2019,R40780,2019/06/29 12:00:49,0.1,Gull Creek,55.01503333,-128.25013333
-121.662884,56.445139,G80260,2019,G80260,2019/04/08 13:24:50,300,Cameron River,56.44513333,-121.66286667
-123.696115,48.747872,V60553,2019,V60553,2019/06/13 19:22:00,0.2,Koksilah Rd,48.74786667,-123.6961
-123.498249,49.460189,V51075,2019,V51075,2019/07/24 07:45:55,0.009,Port Mellon Highway,49.46018333,-123.49823333
-121.032515,50.233639,K60264,2019,K60264,2019/05/05 08:30:57,0.009,Gordon Creek FSR,50.2336333,-121.0325
-121.996899,49.472339,V10694,2019,V10694,2019/06/22 17:00:00,0.15,N end Chehalis lake,49.4723333,-121.9968833
-121.89943,50.642672,K71855,2019,K71855,2020/03/21 00:00:00,0.6,Texas Crk Rd,50.6426659,-121.8994141
-121.886132,50.743406,K71853,2019,K71853,2020/03/20 15:00:00,0.8,N of Hwy 99 Fountain Flats,50.7434006,-121.886116
-121.558434,50.105356,K71854,2019,K71854,2020/03/20 14:00:00,0.04,Nekliptum Creek,50.1053505,-121.5584183
-121.299996,50.575422,K21852,2019,K21852,2020/03/20 12:56:12,5.9,Epsom Flats Park,50.5754166,-121.2999802
-116.797882,51.155322,N41857,2019,N41857,2020/03/22 13:30:00,0.009,Rauch Road, south of Nicholson,51.1553154
-116.442264,49.02394,N71858,2019,N71858,2020/03/22 15:45:00,0.8,Creston/ Canyon Lister Road,49.02393333,-116.44225
-126.953101,53.916672,R21324,2019,R21324,2019/08/09 12:00:00,0.25,NE Nadina Lake,53.91666667,-126.95308333
