X,Y,Name,CURRENT_SIZE,FIRE_NUMBER,FIRE_YEAR,Field_1,GEOGRAPHIC_DESCRIPTION,IGNITION_DATE,LATITUDE,LONGITUDE
-114.431913788242,49.0185726661194,N11605,0.009,N11605,2018,N11605,Flathead,2018/07/29,49.0186,-114.4319
-114.360746800002,49.1331394776447,N12024,2007,N12024,2018,N12024,Sage Creek  Modified Response,2018/07/27,49.1331,-114.3607
-114.597013936686,49.0896900526291,N12262,0.15,N12262,2018,N12262,Dally Hill,2018/08/06,49.0897,-114.597
-115.161947244033,49.0218231872484,N12998,0.009,N12998,2018,N12998,Koocanusa East side 10.5km sw of Grasmere,2018/09/02,49.0218,-115.1619
-115.203613968568,49.1111897862662,N11419,0.009,N11419,2018,N11419,Door Road,2018/07/22,49.1112,-115.2036
-115.21539730522,49.203689790173,N10164,0.009,N10164,2018,N10164,Waldos Cove,2018/05/12,49.2037,-115.2154
-114.959347313457,49.4890065423456,N10949,0.009,N10949,2018,N10949,Coal Creek,2018/06/27,49.489,-114.9593
-114.86109789974,49.4918735484176,N12395,956,N12395,2018,N12395,Coal Creek FSR,2018/08/10,49.4919,-114.8611
-114.76049669846,49.5648410707667,N12565,30,N12565,2018,N12565,Leach Creek,2018/08/11,49.5648,-114.7605
-114.748396464744,49.4577396595146,N11108,0.009,N11108,2018,N11108,Limestone Ridge,2018/07/10,49.4577,-114.7484
-115.09284844089,49.4418399198892,N11319,0.009,N11319,2018,N11319,McDermid Creek,2018/07/19,49.4418,-115.0928
-115.058730741599,49.482473230677,N10327,0.009,N10327,2018,N10327,Coal Creek,2018/05/20,49.4825,-115.0587
-114.783346762918,49.4270389513097,N11107,0.009,N11107,2018,N11107,McEvoy Creek,2018/07/09,49.427,-114.7833
-114.924345577946,49.3481548393412,N12486,15,N12486,2018,N12486,Lodgepole Creek,2018/08/11,49.3481,-114.9243
-115.084715510033,49.364172713985,N13017,0.04,N13017,2018,N13017,Mcdermid Creek Headwaters,2018/08/11,49.3642,-115.0847
-115.111029323336,49.4058559210081,N12563,458,N12563,2018,N12563,McDermid Cr / Whimish Cr.  Monitor,2018/08/11,49.4058,-115.111
-115.069296514338,49.4151065265606,N12507,0.9,N12507,2018,N12507,Elk Valley,2018/08/13,49.4151,-115.0693
-115.18112810742,49.2471416030483,N10031,0.01,N10031,2018,N10031,Baynes Lake Dump Road,2018/04/21,49.2471,-115.1811
-115.147464010378,49.3169065119074,N11223,0.009,N11223,2018,N11223,Burton Lake,2018/07/16,49.3169,-115.1475
-115.07409538308,49.2766216152267,N12994,0.009,N12994,2018,N12994,Silver Springs Lake,2018/09/02,49.2766,-115.0741
-114.979033291817,50.1460559876353,N12948,0.009,N12948,2018,N12948,Elk River FSR,2018/08/26,50.146,-114.979
-114.90749749581,50.1995565922802,N11514,0,N11514,2018,N11514,Fording River,2018/07/27,50.1996,-114.9075
-114.968214784805,50.1202228841589,N11563,0.01,N11563,2018,N11563,W of Green Hill Mine,2018/07/27,50.1202,-114.9682
-114.82534675385,50.1103047014198,N10194,4,N10194,2018,N10194,Fording River,2018/05/14,50.1103,-114.8253
-114.854030831085,50.0213398904606,N10396,0,N10396,2018,N10396,2km E of Elkford,2018/05/26,50.0213,-114.854
-114.891165538263,50.0156734875841,N13068,0.009,N13068,2018,N13068,Lost Lake,2018/09/16,50.0157,-114.8912
-114.927016032821,49.9391239716477,N12575,0.04,N12575,2018,N12575,Weigert Creek,2018/08/12,49.9391,-114.927
-114.934764114671,49.8866898696121,N11502,0,N11502,2018,N11502,Brule Creek,2018/07/27,49.8867,-114.9348
-114.934813218087,49.8809879672448,N11212,0.2,N11212,2018,N11212,Brule Creek,2018/07/16,49.881,-114.9348
-114.805197568348,50.1607579074374,N12275,1,N12275,2018,N12275,Kilmarnock Creek- Modified Response,2018/08/02,50.1608,-114.8052
-114.719381982294,49.9017398952299,N12685,47,N12685,2018,N12685,South Line Creek,2018/08/11,49.9017,-114.7194
-114.748747528118,49.6796062802682,N12541,0.009,N12541,2018,N12541,Alexander Creek,2018/08/11,49.6796,-114.7487
-114.734900117709,49.6837566789784,N12574,582,N12574,2018,N12574,Mount Erickson,2018/08/11,49.6838,-114.7349
-114.686247512818,49.6990726841042,N12782,1.5,N12782,2018,N12782,Deadman Pass,2018/08/11,49.6991,-114.6862
-115.025580791411,49.718289850119,N10940,0.009,N10940,2018,N10940,Sulphur Cr,2018/06/27,49.7183,-115.0256
-114.944761973884,49.6980388573235,N11105,0.2,N11105,2018,N11105,Lladnar Creek,2018/07/17,49.698,-114.9447
-115.320580774012,49.4176231972351,N11068,0.009,N11068,2018,N11068,Tye Lake Regional Park,2018/07/07,49.4176,-115.3206
-115.2437807434,49.3721415974939,N11534,0.3,N11534,2018,N11534,Sand Creek,2018/07/28,49.3721,-115.2438
-115.320964034392,49.2903397867733,N11547,0.009,N11547,2018,N11547,Teepee Cr,2018/07/28,49.2903,-115.321
-115.320297345678,49.2893397897824,N11546,0.009,N11546,2018,N11546,Teepee Cr,2018/07/28,49.2893,-115.3203
-115.269629132301,49.2847735894843,N11138,0.02,N11138,2018,N11138,Suzanne Creek,2018/07/12,49.2848,-115.2696
-115.247778519792,49.2756907965027,N10466,0.17,N10466,2018,N10466,4km North of Baynes Lake,2018/06/02,49.2757,-115.2478
-115.295897330194,49.2740231926198,N11432,0.009,N11432,2018,N11432,2 km Koocanusa Transfer Rd,2018/07/23,49.274,-115.2959
