Actual,Predicted
33.00999999999999,2.441566
0.13,1.287153
30.04,9.662184
0.04,1.4504021
0.0,0.57912457
0.0,1.5314125
0.02,0.33348063
4.25,4.697654
0.18,1.2343149
0.04,1.4911749
0.0,0.50423425
0.01,0.71346486
0.0,2.164581
0.0,1.8728352
1.0,0.56869173
0.19,1.6881206
0.0,1.2043515
0.0,0.57622427
0.46,0.62170124
0.08,0.12295965
0.67,0.73713386
0.81,1.0150232
0.28,0.786072
0.03,3.3052664
0.9599999999999999,1.2515504
0.1,0.37647727
0.12,0.77600485
0.04,0.7376241
0.39,1.1295924
0.0,1.2982188
0.04,1.1077411
0.67,2.7119973
0.03,0.8327027
0.09,1.1176233
12.039999999999997,7.7226386
0.02,1.3766172
