Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
1,EC,1021230,48,CAMERON LAKE,451,BC,-124.583333,49.283333,193.0,1924-01-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1021994,50,COURTENAY SANDWICK,453,BC,-124.966667,49.7,76.0,1989-02-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1023471,52,HILLIERS,455,BC,-124.5,49.3,150.0,1987-04-01,1988-07-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1024637,54,LITTLE QUALICUM,457,BC,-124.783333,49.35,187.0,1908-12-01,1921-01-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1025377,55,NANOOSE BAY SOUTH,458,BC,-124.183333,49.25,111.0,1988-09-01,2007-07-31,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,10253G0,56,NANAIMO CITY YARD,459,BC,-123.9878,49.19889,114.0,1981-08-01,2022-03-03,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1025975,57,PARKSVILLE NORTHWEST,460,BC,-124.333333,49.333333,31.0,1961-07-01,1965-04-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1026564,60,QUALICUM BEACH YAMBURY,463,BC,-124.383333,49.35,3.0,1965-05-01,1965-11-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,102E3G0,64,NANAIMO NORTH,467,BC,-123.983333,49.216667,98.0,1989-02-01,1989-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,102ECG0,65,NANAIMO RIVER CAMP,468,BC,-124.083333,49.083333,204.0,1962-08-01,1968-12-20,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1030185,66,ALBERNI CITY RESERVOIR,469,BC,-124.783333,49.266667,65.0,1962-03-01,1963-12-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1036207,75,PORT ALBERNI CHINA CREEK,478,BC,-124.783333,49.233333,70.0,1960-01-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1040908,81,BOWEN ISLAND,484,BC,-123.416667,49.35,23.0,1959-07-01,1965-12-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1040911,82,BOWEN ISLAND CATES BAY,485,BC,-123.316667,49.416667,27.0,1987-04-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,104091A,83,BOWEN ISLAND JOSEPHINE R,486,BC,-123.383333,49.366667,160.0,1992-05-12,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,104091B,84,BOWEN ISLAND SUNSET PARK,487,BC,-123.4019,49.36028,130.0,1992-05-12,2022-03-03,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1040R1J,85,BOWEN ISLAND KILLARNEY L,488,BC,-123.366667,49.4,50.0,1992-05-12,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1041100,86,BUCCANEER BAY,489,BC,-123.966667,49.483333,2.0,1927-08-01,1948-11-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1041380,87,CAPILANO INTAKE,490,BC,-123.15,49.4,146.0,1924-01-01,1955-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1041490,88,CHEEKYE,491,BC,-123.15,49.8,49.0,1960-04-13,1962-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1043320,89,HALFMOON BAY,492,BC,-123.916667,49.516667,11.0,1961-04-18,1964-02-29,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1043321,90,HALFMOON BAY MIDDLE PT,493,BC,-124.0,49.583333,91.0,1961-05-09,1963-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,10433B0,91,HALFMOON BAY,494,BC,-123.9,49.516667,61.0,1973-04-01,1973-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1043582,92,HOPKINS LANDING,495,BC,-123.483333,49.466667,8.0,1969-10-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1044680,93,LOIS LAKE,496,BC,-124.15,49.866667,168.0,1954-01-01,1956-03-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1044710,94,LOIS RIVER DAM,497,BC,-124.316667,49.8,157.0,1931-04-01,2007-07-31,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1046115,95,PENDER HARBOUR,498,BC,-124.0322,49.63444,64.0,1961-05-10,2022-03-04,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1046360,96,POWELL LAKE,499,BC,-124.466667,50.1,76.0,1954-02-01,1954-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1047673,97,SQUAMISH 10 MILE,500,BC,-123.2,49.816667,30.0,1990-04-01,1991-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1080285,120,ALEXIS CREEK,523,BC,-123.333333,52.133333,724.0,1919-10-01,1963-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1081469,121,CHARLIE CREEK RANCH,524,BC,-124.466667,51.75,1158.0,1975-10-01,1976-12-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1081515,122,CHILKO LAKE,525,BC,-124.15,51.616667,1172.0,1956-04-01,1957-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1082748,123,EUCHINIKO TITETOWN,526,BC,-123.816667,53.333333,796.0,1970-11-01,1971-05-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1088326,126,TYAUGHTON LAKE RESORT,529,BC,-122.783333,50.933333,1021.0,1973-10-01,1973-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1090335,127,ALKALI LAKE,530,BC,-122.283333,51.783333,0.0,1910-09-11,1922-03-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1090989,128,BRIDGE RIVER,531,BC,-122.433333,50.85,610.0,1924-01-01,1929-07-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1090990,129,BRIDGE RIVER,532,BC,-122.216667,50.733333,253.0,1935-07-01,1953-02-28,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1091512,131,CHIEF LAKE,534,BC,-123.066667,54.1,793.0,1970-06-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount
1,EC,1092579,132,DUNSTER 2,535,BC,-119.833333,53.166667,833.0,1994-08-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1092904,133,FORT FRASER,536,BC,-124.55,54.1,701.0,1964-09-01,1965-08-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
