Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
1,EC,1120090,231,ADRA,634,BC,-119.583333,49.733333,1003.0,1928-09-01,1953-08-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1120475,232,ARMSTRONG GRANDVIEW,635,BC,-119.283333,50.4,503.0,1959-03-27,1960-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1123977,233,KELOWNA BYLANDS,636,BC,-119.583333,49.866667,480.0,1994-05-01,1995-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1125703,237,OKANAGAN MISSION,640,BC,-119.516667,49.8,408.0,1970-11-15,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1126080,241,PEACHLAND TREPANIER CR,644,BC,-119.833333,49.783333,549.0,1924-10-01,1943-05-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1126135,242,PENNASK LAKE LODGE,645,BC,-120.15,50.0,1420.0,1970-05-01,1972-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1128586,245,VERNON SWAN LAKE,648,BC,-119.266667,50.3,490.0,1994-05-01,2007-03-18,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1128959,246,WINFIELD WOOD LAKE,649,BC,-119.383333,50.05,457.0,1969-03-01,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount
1,EC,1142826,253,FAUQUIER 2,656,BC,-118.066667,49.866667,470.0,1990-08-01,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1145420,256,NEEDLES WHATSHAN PH,659,BC,-118.066667,49.916667,433.0,1955-08-20,1969-01-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1147020,259,SANDON,662,BC,-117.216667,49.966667,1082.0,1941-07-01,1964-12-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1164770,283,MABEL LAKE,686,BC,-118.783333,50.383333,399.0,1924-07-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount
1,EC,1120486,1013,ARMSTRONG OTTER LAKE,1416,BC,-119.25,50.4,342.0,1991-04-01,1992-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
1,EC,1120630,1014,BANKEIR,1417,BC,-120.233333,49.716667,1097.0,1954-08-20,1959-07-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1122541,1021,DOUGLAS LAKE,1424,BC,-120.2,50.166667,808.0,1979-06-01,2007-02-28,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123195,1022,GLENEMMA,1425,BC,-119.316667,50.366667,0.0,1914-11-01,1925-02-28,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1123750,1029,JOE RICH CREEK,1432,BC,-119.133333,49.85,875.0,1928-09-01,2008-12-31,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123930,1030,KELOWNA,1433,BC,-119.466667,49.9,354.0,1899-03-01,1962-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1123965,1031,KELOWNA AWOS,1434,BC,-119.383333,49.95,430.0,2005-01-21,2010-02-22,Daily,Precipitation Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1123970,1032,KELOWNA A,1435,BC,-119.383333,49.95,430.0,1968-10-01,2005-09-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123972,1033,KELOWNA BANKHEAD,1436,BC,-119.3,49.9,0.0,1914-03-25,1931-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1123975,1034,KELOWNA BOWES STREET,1437,BC,-119.466667,49.883333,351.0,1961-08-01,1969-11-11,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1123980,1035,KELOWNA CDA,1438,BC,-119.416667,49.866667,485.0,1950-01-01,1970-04-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
1,EC,1123981,1036,KELOWNA CEDARCREEK,1439,BC,-119.533333,49.783333,375.0,1994-05-01,2008-11-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123982,1037,KELOWNA DAV-SPIERS ROAD,1440,BC,-119.45,49.85,375.0,1978-06-01,2004-09-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123984,1038,KELOWNA EAST,1441,BC,-119.4,49.866667,491.0,1980-08-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123990,1039,KELOWNA LAKEVIEW,1442,BC,-119.55,49.866667,525.0,1952-05-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123992,1040,KELOWNA PC BURNETTS NURS,1443,BC,-119.483333,49.866667,350.0,1969-01-01,2003-04-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123993,1041,KELOWNA QUAILS GATE,1444,BC,-119.566667,49.85,417.0,1995-06-15,2014-04-07,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
