X,Y,Name,WILDFIRE_YEAR,INCIDENT_NUMBER_LABEL,IGNITION_DATE,FIRE_SIZE_HA,GEOGRAPHIC_DESCRIPTION,LATITUDE,LONGITUDE
-119.503183,49.33835,K50255,2021,K50255,2021/04/16 17:48:20,0.4,1km Allendale Lk Rd,49.33835,-119.503183
-120.22345,50.866867,K20261,2021,K20261,2021/04/16 20:27:05,4.5,Dick Hart Park,50.866867,-120.22345
-120.7706,50.074267,K60272,2021,K60272,2021/04/17 15:54:34,0.933,Iron Mountain,50.074267,-120.7706
-120.8574,51.8617,C40271,2021,C40271,2021/04/17 14:39:39,4.3,Canim Lake Near Resort Rd,51.8617,-120.8574
-122.443967,54.074667,G10281,2021,G10281,2021/04/18 09:27:37,0.6,Willow River,54.074667,-122.443967
-123.23195,52.117117,C50327,2021,C50327,2021/04/19 16:00:55,3.7,Anahim Meadow Road,52.117117,-123.23195
-122.694,54.086117,G10558,2021,G10558,2021/05/21 13:15:48,0.009,2km South of Salmon Valley Bridge,54.086117,-122.694
-117.328483,49.005683,N50574,2021,N50574,2021/05/22 14:00:00,0.21,Pendoreille Road,49.005683,-117.328483
-120.47855,55.189633,G70728,2021,G70728,2021/06/05 18:51:21,2,Boot Lake,55.189633,-120.47855
-120.106233,49.360633,K60748,2021,K60748,2021/06/07 16:15:36,0.009,Hwy 3,49.360633,-120.106233
-127.072694,54.795111,R30750,2021,R30750,2021/06/07 18:30:00,0.45,Telkwa High Rd, near Canyon Creek,54.79511111
-122.18605,51.80045,C20758,2021,C20758,2021/06/05 12:00:00,0.015,N of Alkali Lake,51.80045,-122.18605
-127.691133,55.358533,R40187,2021,R40187,2021/04/13 15:30:00,1.28,Kispiox Village,55.358533,-127.691133
-123.397383,52.0989,C50172,2021,C50172,2021/04/10 23:53:58,5.1,W of Bull Canyon,52.0989,-123.397383
-123.80205,49.136733,V70173,2021,V70173,2021/04/10 15:27:59,0.009,Mudge Island,49.136733,-123.80205
-123.153183,52.002067,C50184,2021,C50184,2021/04/13 14:00:00,35,Anahim Flats Reserve,52.002067,-123.153183
-121.91645,49.239333,V10210,2021,V10210,2021/04/14 17:00:00,0.13,Mount Woodside,49.239333,-121.91645
-124.767467,54.00325,G40244,2021,G40244,2021/04/15 18:29:59,0.009,Foster Lakes South of Fraser Lake,54.00325,-124.767467
-121.280233,51.661233,C40265,2021,C40265,2021/04/16 16:10:07,0.19,Canim Hendrix Rd,51.661233,-121.280233
-121.140083,50.793333,K20321,2021,K20321,2021/04/19 10:05:25,0.1,McAbee,50.793333,-121.140083
-119.232067,50.387833,K40417,2021,K40417,2021/04/26 13:27:24,11.3,Otter Lake Cross rd,50.387833,-119.232067
-121.5013,51.133833,C40416,2021,C40416,2021/04/26 11:08:52,0.9,5km N of Clinton,51.133833,-121.5013
-124.073533,52.10805,C50418,2021,C50418,2021/04/26 16:00:13,0.009,Puntzi Refuse Site,52.10805,-124.073533
