Actual,Predicted
0.20000000000000004,0.12333784
6.01,1.7319317
0.22,0.69740134
0.01,0.14848521
0.0,0.036329575
0.0,0.07671892
0.0,0.02537092
0.8400000000000001,0.20883751
7.279999999999999,0.46068564
0.0,0.02859186
0.0,0.057903297
0.0,0.042104594
0.02,0.06016002
0.0,0.47121012
0.02,0.14980581
0.03,0.08425264
0.0,0.052084606
0.0,0.040004183
0.22,0.17706552
0.0,0.13211879
0.0,0.16416736
0.63,0.2605115
0.02,0.013563856
0.01,0.038166553
3.12,0.8644007
0.02,0.3797151
0.04,0.15504032
4.4,1.4288893
0.01,0.0021220404
0.0,0.034538448
0.0,0.32518405
298.0400000000001,27.212484
0.02,0.5952123
0.01,0.44371238
0.0,0.22072323
0.0,0.05316649
