Actual,Predicted
0.0,0.25413516
0.0,0.089969926
0.0,0.10162594
0.0,0.16334783
0.0,0.100038044
0.0,0.058781154
0.0,0.15500419
0.0,0.21634062
0.0,0.40450987
0.0,0.074236505
0.0,0.06423112
0.0,0.009109741
0.0,0.11614813
0.0,0.16305806
0.0,0.32475373
0.0,0.119550474
0.0,0.048834827
0.0,0.019283405
0.0,0.4140485
0.0,0.21384089
0.0,0.13307574
0.0,0.34860623
0.0,0.15205687
0.0,0.029667513
0.0,0.1426917
0.0,0.12611139
0.0,0.2047455
0.0,0.23884013
0.0,0.06072749
0.0,0.0063803126
0.02,0.2802802
0.0,0.6642211
0.0,0.07595109
0.0,0.20884931
0.0,0.08108409
0.0,0.021940004
