Actual,Predicted
0.03,0.09476566
0.0,0.14770453
0.0,0.028910527
0.0,0.16033459
0.0,0.3812819
0.0,0.029445633
0.0,0.12857425
0.0,0.34443325
0.0,0.5202863
0.0,0.30236974
0.0,0.15392835
0.0,0.011927954
0.0,0.21076563
0.0,0.12555586
0.0,0.22733401
0.0,0.31207517
0.0,0.086362086
0.0,0.04986767
0.0,0.39596963
1.2,0.2759399
0.0,0.09705978
0.03,0.21685342
0.0,0.09518449
0.0,0.08952272
0.0,0.079145834
0.0,0.041401234
0.0,0.02609378
0.0,0.33272585
0.0,0.17639832
0.0,0.09980161
0.0,0.2981202
0.0,0.035559975
0.0,0.01701772
0.0,0.21755119
0.0,0.07301146
0.0,0.08434749
