,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
9,1,EC,1128959,246,WINFIELD WOOD LAKE,649,BC,-119.383333,50.05,457.0,1969-03-01,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount
46,1,EC,1125700,1062,OKANAGAN CENTRE,1465,BC,-119.4139,50.04,501.0,1925-03-01,2022-03-04,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
49,1,EC,1125907,1073,OYAMA,1476,BC,-119.366667,50.116667,440.0,1965-06-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
60,1,EC,1128551,1090,VERNON,1493,BC,-119.283333,50.233333,556.0,1971-10-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
67,1,EC,1128585,1097,VERNON SOUTHWEST,1500,BC,-119.366667,50.233333,370.0,1966-04-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
70,1,EC,1128958,1100,WINFIELD,1503,BC,-119.4163,50.03667,502.9,1971-03-01,2016-06-12,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
71,1,EC,1128983,1101,WOODS LAKE,1504,BC,-119.45,50.05,405.0,1915-06-01,1939-01-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
73,1,EC,112E700,1103,OKANAGAN CENTRE CAMP RD,1506,BC,-119.433333,50.05,445.0,1984-08-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
138,12,FLNRO-WMB,289,1839,ZZ KAL LAKE,2242,BC,-119.3,50.2,4.0,1986-04-01,1990-07-10,Daily,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
142,12,FLNRO-WMB,298,1848,FINTRY,2251,BC,-119.48,50.2067,670.0,1990-07-13,2024-01-14,Hourly,Dew Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
152,12,FLNRO-WMB,341,1887,ZZ KAL LK. II,2290,BC,-119.2767,50.2367,457.0,1987-07-29,2001-01-01,Hourly,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
173,12,FLNRO-WMB,747,2195,ZZ SOUTH FORK,2598,BC,-119.57,50.2055,1100.0,2002-06-24,2002-10-22,Hourly,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
201,2,MoTIe,23097,2690,Kalamalka Lookout,3433,BC,-119.30607,50.2112,570.0,1998-12-30,2024-01-14,Hourly,Air Pressure|Air Pressure (Point)|Dew Point Temperature|Dew Point Temperature (Mean)|Precipitation (Cumulative)|Precipitation 24hr|Precipitation Amount|Precipitation Climatology|Rainfall Amount|Relative Humidity|Relative Humidity (Mean)|Sea Level Pressure|Snow Depth|Snowfall|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Mean)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)|Wind Direction|Wind Direction (Mean)|Wind Direction (Point)|Wind Direction (Std Dev)|Wind Gust|Wind Speed|Wind Speed (Max.)|Wind Speed (Mean)|Wind Speed (Point)
269,17,ARDA,112209,4980,LAMBLY,6660,BC,-119.616666666667,50.0133333333333,972.0,1971-05-28,1972-09-28,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
275,17,ARDA,112215,4986,POSTILL,6666,BC,-119.335,50.0308333333333,866.0,1971-05-29,1972-09-28,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
278,17,ARDA,112226,4989,WOODSDALE,6669,BC,-119.371666666667,50.065,535.0,1971-03-29,1972-10-29,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
279,17,ARDA,112231,4990,RATTLESNAKE,6670,BC,-119.386666666667,50.1266666666667,425.0,1971-04-28,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
280,17,ARDA,112232,4991,KALAMALKA,6671,BC,-119.344166666667,50.1875,482.0,1971-06-28,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
286,17,ARDA,112301,5001,GLEN WOOD,6681,BC,-119.444444444444,50.1333333333333,412.0,1975-05-14,1989-01-26,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
