,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
90,1,EC,1162785,1263,FALKLAND SPANISH LAKE,1666,BC,-119.5,50.5,823.0,1974-12-12,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
106,1,EC,1166946,1303,SALMON ARM 2,1706,BC,-119.283333,50.7,396.0,1950-04-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
107,1,EC,1166947,1304,SALMON ARM 3,1707,BC,-119.35,50.683333,363.0,1893-04-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
114,1,EC,1167337,1314,SILVER CREEK,1717,BC,-119.35,50.54533,419.0,1989-06-01,2021-10-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
120,1,EC,1167986,1322,TAPPEN TULARI FARM,1725,BC,-119.3,50.666667,381.0,1966-11-01,1967-02-28,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
125,1,EC,116FRMN,1332,SALMON ARM CS,1735,BC,-119.2906,50.70306,350.5,1991-01-01,2017-12-31,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
174,12,FLNRO-WMB,757,2205,ZZ WEST RIDGE QD(NEC),2608,BC,-119.496,50.659,1768.0,1998-08-15,1998-12-07,Hourly,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
182,12,FLNRO-WMB,1051,2367,ZZ NOTCH QD,2770,BC,-119.45,50.74583333,1407.0,2009-08-26,2009-09-22,Hourly,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
194,3,MoTIm,22001,2683,Salmon Arm,3426,BC,-119.33694,50.69806,365.0,1988-10-12,1999-02-23,Semi-daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)
195,3,MoTIm,22003,2684,Falkland,3427,BC,-119.55139,50.50056,610.0,1987-11-01,2002-01-01,Semi-daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)
327,17,ARDA,116103,5591,FLY HILL 25,7273,BC,-119.375833333333,50.685,787.0,1971-04-29,1972-10-31,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
328,17,ARDA,116104,5592,FLY HILL 49,7274,BC,-119.408333333333,50.7058333333333,1463.0,1971-05-30,1972-10-25,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
329,17,ARDA,116106,5593,SILVER,7275,BC,-119.359166666667,50.59,386.0,1971-04-28,1971-10-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
330,17,ARDA,116107,5594,YANKEE FLATS,7276,BC,-119.364166666667,50.5408333333333,532.0,1971-04-06,1972-10-31,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
331,17,ARDA,116108,5595,SPA,7277,BC,-119.366666666667,50.5,533.0,1971-04-28,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
374,17,ARDA,116193,5671,JOYCE       KAM,7353,BC,-119.602777777778,50.5663888888889,827.0,1971-05-29,1973-10-25,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
376,17,ARDA,116195,5673,FERRIS,7355,BC,-119.5,50.5055555555556,923.0,1971-05-11,1973-10-25,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
405,17,ARDA,116515,5822,MARTIN MTN  KAM,7505,BC,-119.565277777778,50.6,1341.0,1972-06-09,1973-10-18,Daily,Precipitation (Cumulative)|Temperature (Max.)|Temperature (Min.)
