station_observations
WDIR_VECT, time, TEMP_MEAN, HUMIDITY
149.3, 2020-01-01 00:00:00, 6.6, 100.0
128.6, 2020-01-01 01:00:00, 6.3, 99.6
135.1, 2020-01-01 02:00:00, 6.7, 100.0
123.0, 2020-01-01 03:00:00, 7.3, 99.8
162.7, 2020-01-01 04:00:00, 7.8, 99.7
124.1, 2020-01-01 05:00:00, 7.9, 100.0
136.2, 2020-01-01 06:00:00, 8.1, 99.7
292.3, 2020-01-01 07:00:00, 8.0, 99.8
276.0, 2020-01-01 08:00:00, 8.0, 91.1
274.2, 2020-01-01 09:00:00, 8.3, 91.7
230.3, 2020-01-01 10:00:00, 9.0, 76.3
109.3, 2020-01-01 11:00:00, 9.9, 81.6
235.2, 2020-01-01 12:00:00, 11.4, 63.2
233.0, 2020-01-01 13:00:00, 12.0, 59.3
205.8, 2020-01-01 14:00:00, 12.2, 59.9
206.3, 2020-01-01 15:00:00, 11.5, 69.2
155.5, 2020-01-01 16:00:00, 10.2, 86.8
134.0, 2020-01-01 17:00:00, 9.2, 88.0
228.2, 2020-01-01 18:00:00, 9.0, 75.9
255.9, 2020-01-01 19:00:00, 9.2, 73.6
256.9, 2020-01-01 20:00:00, 7.9, 69.3
251.3, 2020-01-01 21:00:00, 7.4, 64.2
236.0, 2020-01-01 22:00:00, 7.1, 56.1
239.7, 2020-01-01 23:00:00, 7.2, 55.4
231.5, 2020-01-02 00:00:00, 6.7, 50.8
212.0, 2020-01-02 01:00:00, 6.4, 56.6
230.7, 2020-01-02 02:00:00, 6.0, 56.5
244.2, 2020-01-02 03:00:00, 5.9, 60.6
265.8, 2020-01-02 04:00:00, 5.5, 62.5
235.1, 2020-01-02 05:00:00, 4.5, 69.3
160.7, 2020-01-02 06:00:00, 3.6, 73.8
113.0, 2020-01-02 07:00:00, 3.1, 79.5
139.9, 2020-01-02 08:00:00, 3.2, 79.8
116.2, 2020-01-02 09:00:00, 3.4, 83.6
102.8, 2020-01-02 10:00:00, 3.6, 84.0
27.1, 2020-01-02 11:00:00, 3.9, 83.5
262.1, 2020-01-02 12:00:00, 4.1, 80.3
