,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
28,1,EC,1123750,1029,JOE RICH CREEK,1432,BC,-119.133333,49.85,875.0,1928-09-01,2008-12-31,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
42,1,EC,1124980,1049,MCCULLOCH,1452,BC,-119.2,49.8,1250.0,1923-11-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
149,12,FLNRO-WMB,335,1883,ZZ IDA BELL LAKE,2286,BC,-119.2,49.7,12.0,1986-05-22,1988-07-26,Daily,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
150,12,FLNRO-WMB,336,1884,ZZ IDA BELL LK II,2287,BC,-119.1767,49.7367,1250.0,1987-07-31,2004-08-05,Hourly,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
176,12,FLNRO-WMB,875,2291,ZZ THUNDER MOUNTAIN,2694,BC,-119.1242,49.7672,1300.0,2004-08-01,2004-08-05,Hourly,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
177,12,FLNRO-WMB,876,2292,IDA BELL III,2695,BC,-119.1242,49.7672,1300.0,2004-08-01,2024-01-14,Hourly,Dew Point Temperature|Precipitation Amount|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
206,3,MoTIm,33009,2759,McCulloch Junction,3502,BC,-119.12639,49.75778,1220.0,1977-11-01,2001-04-15,Semi-daily,Rainfall Amount|Relative Humidity (Point)|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Point)|Wind Speed (Point)
207,2,MoTIe,33099,2761,McCulloch,3504,BC,-119.12639,49.75778,1220.0,2001-11-21,2024-01-14,Hourly,Air Pressure|Air Pressure (Point)|Dew Point Temperature|Dew Point Temperature (Mean)|Precipitation (Cumulative)|Precipitation 24hr|Precipitation Amount|Rainfall Amount|Relative Humidity|Relative Humidity (Mean)|Sea Level Pressure|Snow Depth|Snowfall|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Mean)|Temperature (Min.)|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Direction (Point)|Wind Direction (Std Dev)|Wind Gust|Wind Speed|Wind Speed (Max.)|Wind Speed (Mean)|Wind Speed (Point)
242,17,ARDA,112122,4933,MCCULLOCH RESERVOIR,6613,BC,-119.171666666667,49.7780555555556,1256.0,1981-05-17,1981-10-04,Daily,Precipitation (Cumulative)|Temperature (Max.)|Temperature (Min.)
302,17,ARDA,113070,5069,COOKSON,6749,BC,-119.121666666667,49.7358333333333,1189.0,1971-04-26,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
