,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
7,1,EC,1126160,243,PENTICTON SEWAGE PLANT,646,BC,-119.6,49.5,344.0,1954-10-01,1969-11-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
24,1,EC,1120M47,1017,ARAWANA,1420,BC,-119.566667,49.583333,518.0,1970-12-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
25,1,EC,1121620,1020,CHUTE LAKE,1423,BC,-119.533333,49.683333,1194.0,1928-09-01,1962-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
43,1,EC,1125380,1056,NARAMATA,1459,BC,-119.6,49.616667,366.0,1924-01-01,1936-12-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
44,1,EC,1125381,1057,NARAMATA,1460,BC,-119.566667,49.55,411.0,1971-04-01,2004-02-29,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
56,1,EC,1127798,1086,SUMMERLAND,1489,BC,-119.666667,49.6,335.0,1907-07-01,1923-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
57,1,EC,1127800,1087,SUMMERLAND CDA,1490,BC,-119.65,49.566667,455.0,1916-01-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
58,1,EC,1127830,1088,SUMMERLAND CDA EL,1491,BC,-119.633333,49.566667,346.0,1949-06-01,1964-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
74,1,EC,112G8L1,1105,SUMMERLAND CS,1508,BC,-119.6384,49.56372,454.2,1990-06-01,2017-12-31,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
145,12,FLNRO-WMB,328,1876,PENTICTON RS,2279,BC,-119.5533,49.5183,427.0,1988-08-16,2023-10-08,Hourly,Dew Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
223,17,ARDA,112032,4848,STRAFEHL,6528,BC,-119.680555555556,49.6097222222222,488.0,1974-03-21,1975-09-18,Daily,Temperature (Max.)|Temperature (Min.)
233,17,ARDA,112052,4868,DESCHAMPS,6548,BC,-119.755833333333,49.595,686.0,1971-04-28,1972-09-28,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
234,17,ARDA,112053,4869,ENEAS,6549,BC,-119.7925,49.6583333333333,716.0,1971-03-26,1972-10-30,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
235,17,ARDA,112055,4871,DINGWALL,6551,BC,-119.666666666667,49.5680555555556,494.0,1974-03-22,1974-10-28,Daily,Temperature (Max.)|Temperature (Min.)
248,17,ARDA,112163,4958,GARTRELL,6638,BC,-119.634166666667,49.575,357.0,1971-03-23,1972-10-29,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
249,17,ARDA,112164,4959,CONKLE,6639,BC,-119.686666666667,49.5633333333333,593.0,1971-03-16,1972-10-30,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
250,17,ARDA,112165,4960,FAULDER,6640,BC,-119.713333333333,49.5938888888889,556.0,1971-03-16,1972-05-23,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
251,17,ARDA,112167,4961,JONES FLAT,6641,BC,-119.67,49.6108333333333,485.0,1971-03-23,1972-10-29,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
252,17,ARDA,112169,4962,ACLAND,6642,BC,-119.720833333333,49.6669444444444,389.0,1971-04-28,1972-09-27,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
285,17,ARDA,112254,4998,ROGER RCH DS,6678,BC,-119.7775,49.5133333333333,832.0,1980-10-08,1981-07-22,Daily,Precipitation Amount|Surface Snow Depth (Point)
410,19,EC_raw,112G8L1,6658,Summerland,8343,BC,-119.6383889,49.56372222,454.2,2011-05-31,2012-11-08,Hourly,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
411,19,EC_raw,112G8L1,6658,Summerland,8661,BC,-119.6486944,49.56255556,454.2,2010-03-02,2019-01-01,Hourly,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
412,19,EC_raw,112G8L1,6658,Summerland,8662,BC,-119.6383889,49.56372222,454.2,2012-11-09,2012-11-09,Daily,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
413,19,EC_raw,112G8L1,6658,Summerland,8663,BC,-119.6486944,49.56255556,454.2,2012-11-11,2012-11-12,Hourly,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
414,19,EC_raw,112G8L1,6658,Summerland,8664,BC,-119.6383889,49.56372222,454.2,2012-11-10,2012-11-10,Daily,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
415,19,EC_raw,112G8L1,6658,Summerland,8665,BC,-119.6486944,49.56255556,454.2,2012-11-12,2012-11-13,Hourly,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
416,19,EC_raw,112G8L1,6658,Summerland,8666,BC,-119.6383889,49.56372222,454.2,2012-11-11,2012-11-11,Daily,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
417,19,EC_raw,112G8L1,6658,Summerland,8667,BC,-119.6486944,49.56255556,454.2,2012-11-13,2012-11-14,Hourly,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
