Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
1,EC,1128586,245,VERNON SWAN LAKE,648,BC,-119.266667,50.3,490.0,1994-05-01,2007-03-18,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1128550,1089,VERNON,1492,BC,-119.266667,50.25,422.0,1893-01-01,1960-04-14,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1128551,1090,VERNON,1493,BC,-119.283333,50.233333,556.0,1971-10-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1128553,1091,VERNON BELLA VISTA,1494,BC,-119.3097,50.26433,427.0,1984-12-01,2015-06-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1128554,1092,VERNON BX,1495,BC,-119.216667,50.283333,518.0,1960-04-15,1966-03-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1128580,1093,VERNON COLDSTREAM RANCH,1496,BC,-119.2,50.233333,482.0,1900-04-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1128581,1094,VERNON CS,1497,BC,-119.2,50.216667,482.0,1991-06-01,2008-03-17,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,112HEHD,1106,VERNON SOUTH,1509,BC,-119.266667,50.25,381.0,1974-05-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
12,FLNRO-WMB,288,1838,ZZ VERNON  R/S,2241,BC,-119.3,50.3,0.0,1978-05-01,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
12,FLNRO-WMB,289,1839,ZZ KAL LAKE,2242,BC,-119.3,50.2,4.0,1986-04-01,1990-07-10,Daily,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
