Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
1,EC,1120090,231,ADRA,634,BC,-119.583333,49.733333,1003.0,1928-09-01,1953-08-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1120475,232,ARMSTRONG GRANDVIEW,635,BC,-119.283333,50.4,503.0,1959-03-27,1960-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1123977,233,KELOWNA BYLANDS,636,BC,-119.583333,49.866667,480.0,1994-05-01,1995-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1124260,235,KIRTON,638,BC,-119.95,49.666667,884.0,1928-09-01,1962-04-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1125703,237,OKANAGAN MISSION,640,BC,-119.516667,49.8,408.0,1970-11-15,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1126080,241,PEACHLAND TREPANIER CR,644,BC,-119.833333,49.783333,549.0,1924-10-01,1943-05-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1126135,242,PENNASK LAKE LODGE,645,BC,-120.15,50.0,1420.0,1970-05-01,1972-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1126160,243,PENTICTON SEWAGE PLANT,646,BC,-119.6,49.5,344.0,1954-10-01,1969-11-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1128586,245,VERNON SWAN LAKE,648,BC,-119.266667,50.3,490.0,1994-05-01,2007-03-18,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1128959,246,WINFIELD WOOD LAKE,649,BC,-119.383333,50.05,457.0,1969-03-01,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount
1,EC,1161312,270,CANOE POINT,673,BC,-119.066667,50.8,353.0,1910-06-01,1920-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1162683,272,ENDERBY VALECAIRN FARM,675,BC,-119.166667,50.533333,335.0,1966-02-01,1967-03-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1164384,279,KNUTSFORD,682,BC,-120.316667,50.616667,786.0,1986-06-01,1988-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1164770,283,MABEL LAKE,686,BC,-118.783333,50.383333,399.0,1924-07-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount
1,EC,1164903,284,MARA LAKE,687,BC,-119.033333,50.716667,354.0,1965-06-01,1969-03-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1165197,285,MONTE LAKE,688,BC,-119.85,50.516667,683.0,1961-09-22,1968-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1165198,286,MONTE LAKE 2,689,BC,-119.85,50.516667,701.0,1961-09-01,1962-12-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1167984,288,TAPPEN NORTH,691,BC,-119.3,50.8,488.0,1970-10-01,1970-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,1168667,289,VINSULLA,692,BC,-120.25,50.933333,357.0,1962-05-01,1966-11-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
1,EC,116CQAK,292,KAMLOOPS DALLAS,695,BC,-120.166667,50.666667,346.0,1989-06-01,1989-11-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,116NJ9F,295,MONTE CREEK,698,BC,-119.95,50.65,351.0,1986-07-01,2007-03-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
1,EC,1120486,1013,ARMSTRONG OTTER LAKE,1416,BC,-119.25,50.4,342.0,1991-04-01,1992-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
1,EC,1120630,1014,BANKEIR,1417,BC,-120.233333,49.716667,1097.0,1954-08-20,1959-07-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1120633,1015,BANKIER CHAIN LAKE,1418,BC,-120.283333,49.7,1020.0,1974-05-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1120M47,1017,ARAWANA,1420,BC,-119.566667,49.583333,518.0,1970-12-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1121620,1020,CHUTE LAKE,1423,BC,-119.533333,49.683333,1194.0,1928-09-01,1962-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1122541,1021,DOUGLAS LAKE,1424,BC,-120.2,50.166667,808.0,1979-06-01,2007-02-28,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123195,1022,GLENEMMA,1425,BC,-119.316667,50.366667,0.0,1914-11-01,1925-02-28,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1123750,1029,JOE RICH CREEK,1432,BC,-119.133333,49.85,875.0,1928-09-01,2008-12-31,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123930,1030,KELOWNA,1433,BC,-119.466667,49.9,354.0,1899-03-01,1962-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1123965,1031,KELOWNA AWOS,1434,BC,-119.383333,49.95,430.0,2005-01-21,2010-02-22,Daily,Precipitation Amount|Temperature (Max.)|Temperature (Min.)
1,EC,1123970,1032,KELOWNA A,1435,BC,-119.383333,49.95,430.0,1968-10-01,2005-09-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
1,EC,1123972,1033,KELOWNA BANKHEAD,1436,BC,-119.3,49.9,0.0,1914-03-25,1931-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
