station_observations
WDIR_VECT, time, TEMP_MEAN, HUMIDITY
132.4, 2022-01-01 00:00:00, None, 90.6
152.8, 2022-01-01 01:00:00, None, 92.6
164.6, 2022-01-01 02:00:00, None, 88.4
123.8, 2022-01-01 03:00:00, None, 86.4
147.6, 2022-01-01 04:00:00, None, 85.9
127.3, 2022-01-01 05:00:00, None, 84.5
139.9, 2022-01-01 06:00:00, None, 84.8
156.4, 2022-01-01 07:00:00, None, 86.3
166.2, 2022-01-01 08:00:00, None, 88.5
165.8, 2022-01-01 09:00:00, None, 86.9
167.2, 2022-01-01 10:00:00, None, 85.1
203.0, 2022-01-01 11:00:00, None, 84.1
173.0, 2022-01-01 12:00:00, None, 82.4
157.3, 2022-01-01 13:00:00, None, 79.6
202.4, 2022-01-01 14:00:00, None, 76.5
223.6, 2022-01-01 15:00:00, None, 77.9
180.4, 2022-01-01 16:00:00, None, 78.1
191.5, 2022-01-01 17:00:00, None, 79.5
198.6, 2022-01-01 18:00:00, None, 77.5
219.9, 2022-01-01 19:00:00, None, 78.6
194.2, 2022-01-01 20:00:00, None, 83.2
142.9, 2022-01-01 21:00:00, None, 79.4
177.3, 2022-01-01 22:00:00, None, 83.1
150.3, 2022-01-01 23:00:00, None, 69.1
121.0, 2022-01-02 00:00:00, None, 58.1
119.4, 2022-01-02 01:00:00, None, 56.7
154.4, 2022-01-02 02:00:00, None, 72.4
305.9, 2022-01-02 03:00:00, None, 99.0
286.1, 2022-01-02 04:00:00, None, 98.9
221.7, 2022-01-02 05:00:00, None, 99.1
222.6, 2022-01-02 06:00:00, None, 99.1
161.3, 2022-01-02 07:00:00, None, 99.6
213.0, 2022-01-02 08:00:00, None, 99.5
201.5, 2022-01-02 09:00:00, None, 99.2
209.6, 2022-01-02 10:00:00, None, 99.1
183.0, 2022-01-02 11:00:00, None, 99.3
215.0, 2022-01-02 12:00:00, None, 99.1
277.9, 2022-01-02 13:00:00, None, 99.0
146.7, 2022-01-02 14:00:00, None, 99.0
119.2, 2022-01-02 15:00:00, None, 90.4
135.5, 2022-01-02 16:00:00, None, 87.7
