station_observations
air_temp, min_air_temp_snc_last_reset, snwfl_amt_pst1hr, max_air_temp_snc_last_reset, rel_hum, time, dwpt_temp
19.6, 15.9, -7999.0, 21.7, 48.0, 2021-08-25 16:00:00, 8.0
20.0, 15.9, -7999.0, 21.7, 52.0, 2021-08-25 17:00:00, 10.0
19.9, 15.9, -7999.0, 21.7, 47.0, 2021-08-25 18:00:00, 8.0
20.2, 19.6, -7999.0, 20.3, 44.0, 2021-08-25 19:00:00, 7.0
19.9, 19.6, -7999.0, 20.4, 45.0, 2021-08-25 20:00:00, 8.0
18.6, 18.5, -7999.0, 20.4, 50.0, 2021-08-25 21:00:00, 8.0
18.2, 18.2, -7999.0, 20.4, 53.0, 2021-08-25 22:00:00, 8.0
17.6, 17.5, -7999.0, 20.4, 54.0, 2021-08-25 23:00:00, 8.0
17.3, 17.1, -7999.0, 20.4, 55.0, 2021-08-26 00:00:00, 8.0
16.2, 16.0, -7999.0, 20.4, 60.0, 2021-08-26 01:00:00, 8.0
16.0, 15.9, -7999.0, 20.4, 58.0, 2021-08-26 02:00:00, 8.0
15.3, 15.2, -7999.0, 20.4, 64.0, 2021-08-26 03:00:00, 9.0
15.2, 15.1, -7999.0, 20.4, 68.0, 2021-08-26 04:00:00, 9.0
15.0, 14.8, -7999.0, 20.4, 72.0, 2021-08-26 05:00:00, 10.0
14.6, 14.5, -7999.0, 20.4, 78.0, 2021-08-26 06:00:00, 11.0
14.3, 14.1, -7999.0, 14.8, 100.0, 2021-08-26 07:00:00, 14.0
14.4, 14.0, -7999.0, 14.8, 96.0, 2021-08-26 08:00:00, 14.0
14.6, 14.0, -7999.0, 14.8, 100.0, 2021-08-26 09:00:00, 14.0
14.6, 14.0, -7999.0, 14.8, 96.0, 2021-08-26 10:00:00, 14.0
None, 6999.0, -7999.0, 15.3, 0.0, 2021-08-26 11:00:00, 940.0
None, 6999.0, -7999.0, 15.6, 0.0, 2021-08-26 12:00:00, 940.0
None, 6999.0, -7999.0, 16.1, 0.0, 2021-08-26 13:00:00, 1031.0
None, 6999.0, -7999.0, 16.1, 0.0, 2021-08-26 14:00:00, 940.0
None, 6999.0, -7999.0, 16.1, 0.0, 2021-08-26 15:00:00, 940.0
None, 6999.0, -7999.0, 16.1, 0.0, 2021-08-26 16:00:00, 1051.0
None, 6999.0, -7999.0, 16.1, 0.0, 2021-08-26 17:00:00, 1031.0
None, 6999.0, -7999.0, 16.1, 0.0, 2021-08-26 18:00:00, 940.0
None, 6999.0, -7999.0, 25.1, 0.0, 2021-08-26 19:00:00, 940.0
None, 6999.0, -7999.0, 25.1, 0.0, 2021-08-26 20:00:00, 940.0
15.5, -1154.0, -7999.0, 25.1, 100.0, 2021-08-26 21:00:00, 15.0
15.7, -4661.0, -7999.0, 25.1, 100.0, 2021-08-26 22:00:00, 16.0
14.9, -4661.0, -7999.0, 25.1, 100.0, 2021-08-26 23:00:00, 15.0
14.8, -4661.0, -7999.0, 25.1, 100.0, 2021-08-27 00:00:00, 15.0
14.6, -4661.0, -7999.0, 25.1, 100.0, 2021-08-27 01:00:00, 14.0
14.2, -4661.0, -7999.0, 25.1, 100.0, 2021-08-27 02:00:00, 14.0
14.3, -4661.0, -7999.0, 25.1, 100.0, 2021-08-27 03:00:00, 14.0
13.9, -4661.0, -7999.0, 25.1, 100.0, 2021-08-27 04:00:00, 14.0
None, 6999.0, -7999.0, 25.1, 0.0, 2021-08-27 05:00:00, 940.0
None, 6999.0, -7999.0, 25.1, 0.0, 2021-08-27 06:00:00, 940.0
None, 6999.0, -7999.0, 23.9, 0.0, 2021-08-27 07:00:00, 1031.0
None, 6999.0, -7999.0, 23.9, 0.0, 2021-08-27 08:00:00, 1108.0
None, 6999.0, -7999.0, 23.9, 0.0, 2021-08-27 09:00:00, 940.0
None, 6999.0, -7999.0, 23.9, 0.0, 2021-08-27 10:00:00, 940.0
None, 6999.0, -7999.0, 23.9, 0.0, 2021-08-27 11:00:00, 1031.0
16.9, -2328.0, -7999.0, 23.9, 82.0, 2021-08-27 12:00:00, 14.0
16.5, -2328.0, -7999.0, 23.9, 100.0, 2021-08-27 13:00:00, 16.0
16.8, -2328.0, -7999.0, 23.9, 96.0, 2021-08-27 14:00:00, 16.0
16.7, -2328.0, -7999.0, 23.9, 88.0, 2021-08-27 15:00:00, 15.0
17.6, -2328.0, -7999.0, 23.9, 72.0, 2021-08-27 16:00:00, 12.0
17.8, -2328.0, -7999.0, 23.9, 69.0, 2021-08-27 17:00:00, 12.0
17.6, -2328.0, -7999.0, 23.9, 65.0, 2021-08-27 18:00:00, 11.0
17.3, 17.1, -7999.0, 17.7, 64.0, 2021-08-27 19:00:00, 11.0
16.7, 16.4, -7999.0, 17.7, 64.0, 2021-08-27 20:00:00, 10.0
17.4, 16.4, -7999.0, 17.7, 62.0, 2021-08-27 21:00:00, 10.0
16.7, 16.4, -7999.0, 17.7, 63.0, 2021-08-27 22:00:00, 10.0
16.4, 16.4, -7999.0, 17.7, 66.0, 2021-08-27 23:00:00, 10.0
16.6, 16.4, -7999.0, 17.7, 64.0, 2021-08-28 00:00:00, 10.0
16.2, 16.1, -7999.0, 17.7, 71.0, 2021-08-28 01:00:00, 11.0
15.9, 15.8, -7999.0, 17.7, 76.0, 2021-08-28 02:00:00, 12.0
15.7, 15.4, -7999.0, 17.7, 77.0, 2021-08-28 03:00:00, 12.0
14.4, 14.4, -7999.0, 17.7, 95.0, 2021-08-28 04:00:00, 13.0
14.7, 14.2, -7999.0, 17.7, 100.0, 2021-08-28 05:00:00, 15.0
13.7, -3495.0, -7999.0, 17.7, 100.0, 2021-08-28 06:00:00, 13.0
14.2, 13.6, -7999.0, 14.3, 100.0, 2021-08-28 07:00:00, 14.0
15.9, 13.6, -7999.0, 16.0, 85.0, 2021-08-28 08:00:00, 13.0
15.5, 13.6, -7999.0, 17.1, 80.0, 2021-08-28 09:00:00, 12.0
16.5, 13.6, -7999.0, 17.1, 75.0, 2021-08-28 10:00:00, 12.0
16.7, 13.6, -7999.0, 18.5, 70.0, 2021-08-28 11:00:00, 11.0
18.2, 13.6, -7999.0, 18.9, 67.0, 2021-08-28 12:00:00, 12.0
18.3, 13.6, -7999.0, 18.9, 67.0, 2021-08-28 13:00:00, 12.0
19.4, 13.6, -7999.0, 19.6, 61.0, 2021-08-28 14:00:00, 12.0
20.0, 13.6, -7999.0, 20.5, 57.0, 2021-08-28 15:00:00, 11.0
20.6, 13.6, -7999.0, 21.2, 54.0, 2021-08-28 16:00:00, 11.0
22.2, 13.6, -7999.0, 22.0, 49.0, 2021-08-28 17:00:00, 11.0
21.3, 13.6, -7999.0, 22.4, 55.0, 2021-08-28 18:00:00, 12.0
20.8, 20.5, -7999.0, 21.4, 57.0, 2021-08-28 19:00:00, 12.0
19.4, 19.4, -7999.0, 21.4, 60.0, 2021-08-28 20:00:00, 11.0
19.0, 18.9, -7999.0, 21.4, 55.0, 2021-08-28 21:00:00, 10.0
19.0, 18.8, -7999.0, 21.4, 59.0, 2021-08-28 22:00:00, 11.0
