X,Y,Name,FIRE_OF_NOTE_IND,FIRE_SIZE_HA,Field_1,Fire Number,GEOGRAPHIC,IGNITION DATE,INCIDENT_NAME,LATITUDE,LONGITUDE,RESPONSE_TYPE_DESC,YEAR
-121.019483104735,52.6230060044302,South of Amos Creek,0,0.09,South of Amos Creek,C31003,South of Amos Creek,2022/07/17 05:08:40,,52.623,-121.019467,Modified,2022
-122.37543282336,51.0147057717153,Yalakom Mountain,0,4683,Yalakom Mountain,K71995,Yalakom Mountain,2022/08/24 06:00:00,YALAKOM MOUNTAIN,51.0147,-122.375417,Modified,2022
-118.872231790406,49.543989108938,Deer Creek 1,0,0.009,Deer Creek 1,N61926,Deer Creek 1,2022/08/23 09:01:41,,49.543983,-118.872217,Full,2022
-120.567882352782,50.4721729630779,O'Neil Creek,0,0.1,O'Neil Creek,K21429,O'Neil Creek,2022/08/12 08:32:38,O'Neil Creek,50.472167,-120.567867,Full,2022
-121.48971516458,49.2214227936381,Mt Ling - MONITOR ONLY,0,167,Mt Ling - MONITOR ONLY,V11888,Mt Ling - MONITOR ONLY,2022/08/23 06:21:19,MT LING,49.221417,-121.4897,,2022
-120.169298419248,50.9404230328457,Knouff Creek,0,0.009,Knouff Creek,K20625,Knouff Creek,2022/07/17 11:13:38,,50.940417,-120.169283,Full,2022
-120.596048098206,49.5430389126115,China Creek,0,0.007,China Creek,K62222,China Creek,2022/09/02 11:08:44,China Creek FSR,49.543033,-120.596033,Full,2022
-123.44313334762,52.1129726821829,Hwy 20 W Alexis Creek,0,0.21,Hwy 20 W Alexis Creek,C50029,Hwy 20 W Alexis Creek,2022/04/10 09:47:24,,52.112967,-123.443117,Full,2022
-119.81204830282,50.7630890661344,Niskonlith Lake,0,0.009,Niskonlith Lake,K21194,Niskonlith Lake,2022/08/09 07:54:59,,50.763083,-119.812033,Full,2022
-117.455514829821,50.6529063350536,Silver Cup #3,0,0.009,Silver Cup #3,N51676,Silver Cup #3,2022/08/19 07:52:46,,50.6529,-117.4555,Full,2022
-121.783348998828,51.8958058808287,Bobtail Lake,0,0.09,Bobtail Lake,C41551,Bobtail Lake,2022/08/18 07:48:26,,51.8958,-121.783333,Full,2022
-123.923098980108,50.7037225721775,Dalgleish Creek,0,22.5,Dalgleish Creek,V52371,Dalgleish Creek,2022/09/05 10:58:11,DALGLEISH CREEK,50.703717,-123.923083,Monitor,2022
-126.233333112091,49.9819052675339,Muchalat Lake,0,0.009,Muchalat Lake,V91475,Muchalat Lake,2022/08/11 06:00:00,WARRING CREEK,49.9819,-126.233317,Full,2022
-122.615899167494,51.9815557806936,Riske Creek Dump,0,6.6,Riske Creek Dump,C20110,Riske Creek Dump,2022/04/24 02:30:00,,51.98155,-122.615883,Full,2022
-118.010598325834,51.9517233417201,Kinbasket Lake,0,0.8,Kinbasket Lake,N42396,Kinbasket Lake,2022/09/12 08:00:00,Sullivan Arm,51.951717,-118.010583,,2022
-126.662317687329,54.424538323096,Mt Harry Davis bike trails,0,0.001,Mt Harry Davis bike trails,R22633,Mt Harry Davis bike trails,2022/10/09 11:05:07,Mt Harry Davis,54.424533,-126.6623,Full,2022
-120.475617161706,55.7061061862459,Junciton 237 Road & 206 Road,0,0.17,"Junciton 237 Road &amp; 206 Road",G72262,"Junciton 237 Road &amp; 206 Road",2022/09/02 04:41:15,,55.7061,-120.4756,Full,2022
-118.785347822674,49.7249561298464,Kettle River,0,1.5,Kettle River,N60732,Kettle River,2022/07/22 09:00:00,nevertouch,49.72495,-118.785333,Full,2022
-115.520114163873,49.6135734879225,Horseshoe Lake,0,2.81,Horseshoe Lake,N11880,Horseshoe Lake,2022/08/23 04:40:04,,49.613567,-115.5201,,2022
-120.888348502247,50.7893389404454,Smith Camp Branch 1,0,0.06,Smith Camp Branch 1,K20140,Smith Camp Branch 1,2022/04/29 07:51:14,Smith Road,50.789333,-120.888333,Full,2022
-125.289898902102,49.7279223722373,Ramparts Creek,0,0.009,Ramparts Creek,V82509,Ramparts Creek,2022/09/27 10:00:20,RAMPARTS CREEK,49.727917,-125.289883,Full,2022
-119.753848217584,50.5071560599451,Upper Pringle Creek,0,0.009,Upper Pringle Creek,K41405,Upper Pringle Creek,2022/08/12 11:02:39,,50.50715,-119.753833,Full,2022
-115.788331281826,49.856339473963,Echo Lake,0,0.009,Echo Lake,N22056,Echo Lake,2022/08/26 04:05:31,Echo Lake,49.856333,-115.788317,Full,2022
-122.556269971295,58.7078839703623,West of Clarke Lake,0,0.009,West of Clarke Lake,G90482,West of Clarke Lake,2022/07/04 06:03:00,,58.707878,-122.556251,Full,2022
-121.37468258475,50.7828888822646,McLean Lake,0,0.009,McLean Lake,K22432,McLean Lake,2022/09/14 02:24:43,,50.782883,-121.374667,Full,2022
